Hotels,Distance,District,Price,Rating,Stars,Comments,Link,descriptions
"SANT ANTONI BREAK BCN, Sustanaible Tourism","a 0,9 km del centro","Eixample, Barcelona",€ 415,"7,5",3 de 5,353 comentarios,https://www.booking.com/hotel/es/pension-sant-antoni-barcelona.es.html?aid=304142&label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4Avmm860GwAIB0gIkM2IzZWVjMzUtMGYyZS00MmJhLWJkOTctY2Q2NjFhMmY3ZmYw2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-02-09&checkout=2024-02-13&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=1aec51961b14003f&srepoch=1706873812&all_sr_blocks=849827501_352190093_2_1_0&highlighted_blocks=849827501_352190093_2_1_0&matching_block_id=849827501_352190093_2_1_0&sr_pri_blocks=849827501_352190093_2_1_0__41524&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"Apartamento centric es un alojamiento muy bien ubicado en el centro de Barcelona que ofrece balcón. Platja de Sant Sebastià y Platja de Sant Miquel están a 2,6 km y a 2,6 km del apartamento, y hay wifi gratis.

Este apartamento con aire acondicionado consta de 1 dormitorio y 1 baño con bañera o ducha y artículos de aseo gratuitos. Hay una zona de estar, una zona de comedor y una zona de cocina completa con fogones.

En la recepción 24 horas se hablan varios idiomas, como inglés, español y francés.

Cerca del alojamiento hay puntos de interés como Plaza Cataluña, Paseo de Gracia y Mercado de la Boquería. El aeropuerto (Aeropuerto de Barcelona - El Prat) está a 13 km."
Sonder Casa Luz,a 450 m del centro,"Eixample, Barcelona",€ 670,"8,4",4 de 5,2.667 comentarios,https://www.booking.com/hotel/es/casa-luz-barcelona.es.html?aid=304142&label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4Avmm860GwAIB0gIkM2IzZWVjMzUtMGYyZS00MmJhLWJkOTctY2Q2NjFhMmY3ZmYw2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-02-09&checkout=2024-02-13&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=1aec51961b14003f&srepoch=1706873812&all_sr_blocks=596194813_328913233_2_2_0&highlighted_blocks=596194813_328913233_2_2_0&matching_block_id=596194813_328913233_2_2_0&sr_pri_blocks=596194813_328913233_2_2_0__67004&nad_id=67849954-cc6f-4f81-bc7b-ef92103dcae1_2&nad_cpc=0.88&nad_track=eyJyYW5rIjoxLCJrb2RkaVRyYWNraW5nSW5mbyI6InVWalJGcGNkb2hXWHFLWlNVekJCSVhoWTl3ajEvWExnaU9PS3Zhb2VYNHQzQjYzd1pKL0ZiaFUyQzg0UTFiNjhIZ2hPMTByWUtTbEhvYkJuc0tDZnI3aTh0Nm9KanhrdStoc3cxZy9aNzFOMnVFNnRKNE8vL2RMZWlBL3VSTHNGdzFLd0EvV3JOMXBrYnNDcHhtS2FCS211ZXdaeXlqTk9lRTV1M3lFZ0xvM1BZLzlVTHhxeHNLVHlhSU1yNWhwN0EvdmRTT09VZWhOUTdlUlFyK3FjZlFUcjk0aVlVa1JQTlJxc3J2S2RVTUxYMmJNcUxIeGFzbFZ1alJGMjhYOEx1T0RkUEVGOEpHcUFXc3EydUlROXBHKzR1QVR6bC9TbG0wbXk4UzNCRk9Ba2J5ZEtKSDI2aHNTbVZRMmluUHpVY3FwTlh4WWNiL243bTB1ZitrbnVTYW1iZFJHT3Z3a2YvZnk5T3JzM2VqU2xpNTJGRzV6a0p3MjF6M25IaXdrZjA4ME50VHk0UVhaUGpGL2UyZlNITWJrQmxnSVZOcU56RXVKQklnVnBCTmxMZWNaaGhLYVVRK0NyQ2VyWGxBMnlja2xwWldBZkpOcVVCc3pUY0NjVGFpUnlyd1o0SHprSForNnZOTGRvSzRXb01nTGtDd3VjRXVuMjVqWmFkZXBvWnVjemVLYXpJVDlxUTA1d2d4dStLblNVUVlJVWxLcWdNckZuNUpuV0wvdDdPUFE3UHVqN0lEVkhld0VQOEw1L2xULzdDb0NuUDNaQjdHamxCTjNQVWl4UU9CTDVtaU9UMUlxVHZHdFJ0RDBhZityM2sydFlRbzJmUzRxajdXMGU5V21oWW5FcVlNMzY2OG10dWRVRmN1VzFjZDBoSFNXTHphWUs3cVY5S2tRT3JCUDhRVFVKSk8xcWV1Qk94N3pxRGdMUGdTUjlodFpqakJoMGwza1VlVlQ2UWdnTWlhK1J5WXJpT0QrR3NCT2tER25GUkNPbjVWOVpudkpvcEFBSlI1UGIwV1BvZkJMRWNlOE9RQ0JwY3FXNllRSVNRdy9sQjduNVN1cFk4RWdJWVh5YU1qSWhMbEpUYW9FdktCSkNJWUI1ek9CazRZVTlJVlFGU3dLdjRQczRVUnZvOFI1czJ6RSs2dHVEZVprMzA1NDdrN0VrNmRrUURBaWZmYnVCUWh1b1FDN1M2Vmt3MGROMU1KUndMYkI4K3pBSW9kU0RzVk4xMklnREdpR2xNV1IzeVpVb2RDTmNtTXhGOGVZdDVObUJ6T3B0bW9JRno5dWZMdStjTmNIdHVHWlFNK2IzUElrNTlqZkJZRXZIRnZaYzBKS01UVnhKUENDdHdlSVU4aUxHaDRnNkFkRnRMclpRdkMyVjJTdzhwVnlrUjczcVhMZVNpeU04eGRSU2VrZkVSTkRRM3JlbGRKSlFTU21VZ1BBdFhQU0FXMHUxaTRHYmxTNTVtbUx5RWdmR2hiNExmTHRNVFdLaXhVS1ZXWDEybkZFSEdrLzZiU3hjMTMrSnlBNFFmNktsWEJCdDFrWElZVjlOMXdWckFVMUhzYUdSeUVMV1hUZG5SNjJJUjdQUzM1VUJXOG4vc1Vvb0xnK0RueUxKb2FmRml2RU5wdzkyN25uSHZPOHkrUzJnb1ZVckFDbkp2MGh3MzBuL051cm42NHFldXpXNkNoNUpGYi9qYWNEQ3JaVjRpTmtWeWRVaktmNWJ5QnJ3NEpUMFZ1Y01LcTE0MG8zNy9NYldPL0hEZlpzVnRqazNRNDdhUVM5cTNhYmRXVGI2bndseG93eUQ2bDV5OHoxNk1TRTV6bGZrK0VuTlBjZnZZWEJDM29zL2h0SS9PN0RmWlJKZDdoRXF0Tm1hdFliYit2T0ZGT3BxSWFYRDF5bllpQzJmM3lMeVUrcW05YmpYaXMzUmxnY1BVZ3JUdjlXMitzOFRBdjdvQTZ1SGpOVzlKcmt5NmxiS2xUVGw2SFlhSXV4UTZNZVZUblZIQy8vQkpIQVVlelc1d2lKUmVPbFo2MHpnRERIeDNwc1BMWEJRS3dzMHZrRUYxY2huOUJQL3pIcUs2N1k2a0NxL2psb2plYzFkVEl1aWdmVmRBa0dZTFlmVVp4UCt0eWg3TDcrejdTL1hEeDN2RHhocHQrNjlvcEM4OTY5TENETlo3a3B1blRuaVU0ekIwZU81aVVKcjlYTmJhaW1Zc2czVVEyWWkwSlZDYW9vdDdxaDJqQjJYQmhTdDl2YUR5NUp5OFc3SnJzVS81KzhaWVU2enpDNEg5UzRpWjVOT0xiVFFNR2o3M3RVWHd0M3JUTnU5S001TzVrb3NXcHpnSXczb0hkMUltRVdTNW14SS9Pa01VSVlFNjk4RThjdlR6RTFKWWM3ZXpSbFhoVjVYQ2tOTXZsZjhaMFBKZThqSUxmbVo2Vnd6anFkUnVUUkpQeDZ5OXFpdGtGZ2sxRk9JWU45d3k3b3JxVmJ2SEtVaWdvZWl4SnlUV0VNU3dVWTFYN29OUXNDa1VzcDEwSWVuWlNoTGYzYjZPSkk4cHdnMktIc2NsZ0hjS0s4dmtWUzUrTjdRK0RrTm9uVzliWTErVWRUUTZRUVBDU3FncEd1M2dUTXNseHBqVlI5SjJRamtjMlhBZmNoQ0lJZUtwOWM2UnFkQlR4Z2tycllweEorL0UwaUdNTExrd3hYNjBldTdudkJ4ZmhvZktqVnVoL2ZZZmpJWlJHVnJTY0crekhtUE8rQlgwNEtDUEhab2FvVGFFOHFZSG1pdFMydk9EWjFyYW5UcC9lRHhveC80NTBtRjVQdmVKWEhNOXM0S3g0NnBrMUluVUZpRE81Zk54dzF0dHdQZ1NFdkljaXdzcEJUaTZiUkMyZGVZT2xyRU1nNGd1Y3VyWnNhUHQrQyt4Qmh0K1VuNHRkSG5LRklWTEdHaHNqdWhQV0pNSG45UnBZbUF0VGs4Yk56bjdyTFVaMmZPZnpENWMyOTluL2pQd1pTaWlaRC9HbFhGeDlRZnhPQlFpVmFwTjMwY1BwN0Z4VUhqRFdkNTBCVHVKdEhDeGZCSERseDh3ZU1EdmloSW5aYXZ5N0pMUXBrMmE0TWdZaEt2ek1kKzV5dDlwSHZsK3dob1BMaWV6bXBUVk0yeHBsVi9LdFBVeSsyckJkMnBuTTY4QXArTVkvblZNQk9VUXRqaTVaQ1kzbWdFWFZhVkpMTzdNU1hRenA1dVdIM0dlbFc0TWVWS2J6VWpvZlBrZHNRNHhucFRzUThXbGxDSlhjZHZtZDZsS1JxbiJ9&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"El Sonder Casa Luz se encuentra en Barcelona y ofrece terraza, desayuno y servicio de limpieza gratuito. Los huéspedes podrán visitar el cercano museo de arte contemporáneo MACBA, el mercado de La Boquería y la Rambla del Raval.

El establecimiento alberga un restaurante.

Entre los sitios de interés cercanos al hotel están el paseo de Gracia, la Casa Batlló y la plaza de Cataluña. El aeropuerto de El Prat, situado a 14 km del Sonder l Casa Luz, es el más cercano."
The Social Hub Barcelona Poblenou,"a 3,8 km del centro","Sant Martí, Barcelona",€ 533,"8,8",4 de 5,1.830 comentarios,https://www.booking.com/hotel/es/the-social-hub-barcelona-poblenou.es.html?aid=304142&label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4Avmm860GwAIB0gIkM2IzZWVjMzUtMGYyZS00MmJhLWJkOTctY2Q2NjFhMmY3ZmYw2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-02-09&checkout=2024-02-13&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=1aec51961b14003f&srepoch=1706873812&all_sr_blocks=910251302_362254989_0_42_0&highlighted_blocks=910251302_362254989_0_42_0&matching_block_id=910251302_362254989_0_42_0&sr_pri_blocks=910251302_362254989_0_42_0__53328&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"SANT ANTONI BREAK BCN, Sustanaible Tourism es un alojamiento con una ubicación excelente en el centro de Barcelona que ofrece habitaciones con aire acondicionado, salón de uso común, wifi gratis y terraza. Cerca hay lugares de interés populares como Paseo de Gracia, Plaza Cataluña y Estación de metro Passeig de Gràcia. Hay parking privado en el propio alojamiento.

Todas las unidades incluyen nevera, microondas, cafetera, ducha, artículos de aseo gratuitos y armario. Todas las habitaciones tienen baño privado con secador de pelo, algunas ofrecen balcón y otras también tienen vistas a la ciudad. Las habitaciones disponen de ropa de cama.

En el hostal o pensión se puede disfrutar de un desayuno continental.

Cerca del alojamiento hay puntos de interés como Mercado de la Boquería, Teatro Tívoli y Casa Batlló. El aeropuerto más cercano (Aeropuerto de Barcelona - El Prat) está a 12 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto."
"Hotel Granados 83, a Member of Design Hotels","a 1,2 km del centro","Eixample, Barcelona",€ 575,"8,5",4 de 5,1.574 comentarios,https://www.booking.com/hotel/es/granados-83.es.html?aid=304142&label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4Avmm860GwAIB0gIkM2IzZWVjMzUtMGYyZS00MmJhLWJkOTctY2Q2NjFhMmY3ZmYw2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-02-09&checkout=2024-02-13&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=1aec51961b14003f&srepoch=1706873812&all_sr_blocks=9242501_120386905_0_2_0&highlighted_blocks=9242501_120386905_0_2_0&matching_block_id=9242501_120386905_0_2_0&sr_pri_blocks=9242501_120386905_0_2_0__57470&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"El Wilson Boutique Hotel está situado en la avenida Diagonal de Barcelona, a 12 minutos a pie de La Pedrera, en el Paseo de Gracia. El establecimiento presenta una decoración elegante y ofrece WiFi gratuita y una terraza en la azotea con vistas impresionantes a la ciudad.

El Wilson Boutique Hotel dispone de habitaciones insonorizadas con un diseño elegante y contemporáneo. Todas ellas son luminosas y cuentan con ventanas grandes, TV de pantalla plana y aire acondicionado.

El hotel está a poca distancia a pie de la plaza de Cataluña, donde hay una gran variedad de tiendas y restaurantes.

El Wilson Boutique cuenta con excelentes conexiones de transporte público. Muchos autobuses, incluyendo el autobús turístico, paran frente al hotel.

En el vestíbulo hay un ordenador y una impresora de uso gratuito. El mostrador de información turística proporciona información sobre los lugares de interés de Barcelona, ​​como la Casa Batlló de Gaudí, situada a unos 20 minutos a pie del Wilson. La estación de metro Diagonal se halla a 750 metros."
Wilson Boutique Hotel,"a 1,8 km del centro","Sarrià-Sant Gervasi, Barcelona",€ 419,"8,5",4 de 5,2.127 comentarios,https://www.booking.com/hotel/es/wilson.es.html?aid=304142&label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4Avmm860GwAIB0gIkM2IzZWVjMzUtMGYyZS00MmJhLWJkOTctY2Q2NjFhMmY3ZmYw2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-02-09&checkout=2024-02-13&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=1aec51961b14003f&srepoch=1706873812&all_sr_blocks=9046002_88492580_0_2_0&highlighted_blocks=9046002_88492580_0_2_0&matching_block_id=9046002_88492580_0_2_0&sr_pri_blocks=9046002_88492580_0_2_0__41882&from=searchresults#hotelTmpl,"El Granados 83, situado a 250 metros de la estación de metro Diagonal de Barcelona, alberga un gimnasio pequeño, una terraza en la azotea equipada con una piscina pequeña y un bar de cócteles. Las habitaciones presentan un diseño de estilo zen y cuentan con TV LCD.

Este hotel de diseño tiene una impresionante fachada de vidrio y piedra y combina detalles neoclásicos con elementos naturales e industriales. Además, se ha convertido en un icono de la ciudad y tiene el estatus de monumento protegido. Los interiores del hotel reflejan un estilo art déco excelente.

Las habitaciones del Granados 83 presentan una decoración elegante con elementos de madera, piel y vidrio. Disponen de minibar, albornoz y zapatillas.

A unos 5 minutos a pie del alojamiento, en la Rambla de Cataluña, se pueden encontrar numerosos bares de tapas.

El alojamiento queda a 400 metros del paseo de Gracia, donde se pueden visitar los famosos edificios La Pedrera y Casa Batlló de Gaudí.

El hotel cuenta con recepción 24 horas y wifi gratuita en todas las zonas. También se facilita aparcamiento por un suplemento."
Hotel Derby,"a 2,4 km del centro","Les Corts, Barcelona",€ 382,"8,3",4 de 5,2.168 comentarios,https://www.booking.com/hotel/es/derby.es.html?aid=304142&label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4Avmm860GwAIB0gIkM2IzZWVjMzUtMGYyZS00MmJhLWJkOTctY2Q2NjFhMmY3ZmYw2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-02-09&checkout=2024-02-13&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=1aec51961b14003f&srepoch=1706873812&all_sr_blocks=9004002_0_2_0_0&highlighted_blocks=9004002_0_2_0_0&matching_block_id=9004002_0_2_0_0&sr_pri_blocks=9004002_0_2_0_0__38175&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"El Hotel Ronda Lesseps es un establecimiento tranquilo y familiar con 2 hermosas terrazas interiores llenas de plantas que permiten a los huéspedes relajarse durante su estancia en la ciudad.

El hotel está situado en el corazón metropolitano de Barcelona, muy bien comunicado en transporte público, muy cerca del histórico barrio de Gràcia y a solo 10 minutos a pie del parque Güell de Antoni Gaudí.

Número de licencia: HB-004338"
"Hotel Balmes, a member of Preferred Hotels & Resorts",a 1 km del centro,"Eixample, Barcelona",€ 549,"8,4",4 de 5,3.413 comentarios,https://www.booking.com/hotel/es/balmesderby.es.html?aid=304142&label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4Avmm860GwAIB0gIkM2IzZWVjMzUtMGYyZS00MmJhLWJkOTctY2Q2NjFhMmY3ZmYw2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-02-09&checkout=2024-02-13&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=1aec51961b14003f&srepoch=1706873812&all_sr_blocks=9003918_118524835_0_2_0&highlighted_blocks=9003918_118524835_0_2_0&matching_block_id=9003918_118524835_0_2_0&sr_pri_blocks=9003918_118524835_0_2_0__54920&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"The Social Hub Barcelona Poblenou está en Barcelona, a 16 min a pie de Platja de Llevant, y dispone de alojamiento con piscina al aire libre, parking privado, centro de fitness y jardín. Este alojamiento ofrece salón de uso común y centro de negocios, además de wifi gratis en todo el alojamiento. El hotel tiene terraza, vistas a la ciudad, restaurante y bar.

Las habitaciones de este alojamiento están equipadas con hervidor. Todas las habitaciones del alojamiento tienen baño privado con ducha y artículos de aseo gratuitos, además de TV de pantalla plana y aire acondicionado. Algunas de las habitaciones también incluyen zona de estar. En el hotel, cada habitación dispone de ropa de cama y toallas.

En la recepción 24 horas se habla catalán, checo, inglés y español, y el personal está dispuesto a ayudar en cualquier momento.

Platja de la Nova Mar Bella está a 19 min a pie del alojamiento, y Playa de la Mar Bella está a 1,7 km. El aeropuerto (Aeropuerto de Barcelona - El Prat) está a 17 km."
NH Sants Barcelona,"a 2,7 km del centro","Les Corts, Barcelona",€ 510,"8,5",4 de 5,3.062 comentarios,https://www.booking.com/hotel/es/nh-sants-barcelona.es.html?aid=304142&label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4Avmm860GwAIB0gIkM2IzZWVjMzUtMGYyZS00MmJhLWJkOTctY2Q2NjFhMmY3ZmYw2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-02-09&checkout=2024-02-13&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=1aec51961b14003f&srepoch=1706873812&all_sr_blocks=9076202_93709023_0_2_0&highlighted_blocks=9076202_93709023_0_2_0&matching_block_id=9076202_93709023_0_2_0&sr_pri_blocks=9076202_93709023_0_2_0__50971&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"El NH Sants Barcelona está situado a 400 metros de la estación de Sants de Barcelona y ofrece habitaciones modernas con aire acondicionado, WiFi gratuita, TV de pantalla plana y baño privado.

El hotel tiene un restaurante que sirve cocina mediterránea fresca. Hay un bar cafetería de ambiente relajado. Los huéspedes también pueden disfrutar de un desayuno saludable. El restaurante permanece cerrado durante los meses de verano.

El NH Sants de Barcelona se encuentra en una zona tranquila de Les Corts, el distrito financiero de Barcelona, a menos de 15 minutos en metro del centro de Barcelona. Está a 300 metros de la estación de metro de Plaça del Centre, que conecta con el estadio del FC Barcelona."
Hotel Ronda Lesseps,a 3 km del centro,"Gracia, Barcelona",€ 412,"8,3",4 de 5,2.112 comentarios,https://www.booking.com/hotel/es/rondalessepsbarcelona.es.html?aid=304142&label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4Avmm860GwAIB0gIkM2IzZWVjMzUtMGYyZS00MmJhLWJkOTctY2Q2NjFhMmY3ZmYw2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-02-09&checkout=2024-02-13&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=1aec51961b14003f&srepoch=1706873812&all_sr_blocks=9156625_356518978_0_2_0&highlighted_blocks=9156625_356518978_0_2_0&matching_block_id=9156625_356518978_0_2_0&sr_pri_blocks=9156625_356518978_0_2_0__41195&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"El Balmes se encuentra en el centro de Barcelona, ​​a 5 minutos a pie del famoso Paseo de Gracia. Ofrece piscina, centro de fitness y habitaciones modernas con TV vía satélite.

Las habitaciones del Hotel Balmes tienen una decoración sencilla y elegante y cuentan con suelo de parqué y aire acondicionado. Todas disponen de baño privado, TV de pantalla plana y wifi gratuita.

El bar B, al igual que el resto del alojamiento, está decorado con obras de arte africano.

La recepción está abierta las 24 horas y se ofrecen servicios de venta de entradas para visitas guiadas, espectáculos en directo y otros eventos. En el vestíbulo hay un ordenador de uso gratuito.

Este alojamiento está situado a menos de 10 minutos a pie de la Casa Batlló y La Pedrera de Gaudí. Las Ramblas y el encantador Barrio Gótico de Barcelona se hallan a unos 15 minutos a pie."
apartamento centric,a 300 m del centro,"Ciutat Vella, Barcelona",€ 424,"8,5",4 de 5,,https://www.booking.com/hotel/es/apartamento-centric.es.html?aid=304142&label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4Avmm860GwAIB0gIkM2IzZWVjMzUtMGYyZS00MmJhLWJkOTctY2Q2NjFhMmY3ZmYw2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-02-09&checkout=2024-02-13&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=1aec51961b14003f&srepoch=1706873812&all_sr_blocks=1145402801_387377748_2_0_0&highlighted_blocks=1145402801_387377748_2_0_0&matching_block_id=1145402801_387377748_2_0_0&sr_pri_blocks=1145402801_387377748_2_0_0__42400&from=searchresults#hotelTmpl,"El Derby está situado a 300 metros del centro comercial L'Illa Diagonal y a 20 minutos a pie del estadio Camp Nou del FC Barcelona. Todas las habitaciones disponen de aire acondicionado, TV de pantalla plana vía satélite y conexión gratuita a internet.

El elegante Derby Hotel tiene una impresionante colección de arte catalán, incluidas obras de Miró y Tàpies. Las habitaciones presentan un diseño funcional y suelo de parquet. Todas incluyen caja fuerte y minibar.

El Hotel Derby alberga la pizzería italiana Santa Napoli y la coctelería Lima Bruja, de estilo peruano.

Los huéspedes pueden acceder al gimnasio y la piscina del Gran Derby Hotel, situado a solo 10 metros. La estación de metro Hospital Clínic está a 800 metros, mientras que la Feria de Muestras de la Plaza de España se encuentra a 20 minutos a pie."
