Hotels,Ratings,Distance,District,Price,Link,Star,Descriptions
Ciudad Condal Hostal - Paseo de Gracia,"7,2",a 1 km del centro,,€ 720,https://www.booking.com/hotel/es/ciudad-condal-hostal.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4Apfl460GwAIB0gIkOTNiNmRlYjMtNWQyYy00YjE2LThiMWItYTFiMzczOTcyMDM32AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-29&checkout=2024-06-02&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=9c395b606e9202c0&srepoch=1706619590&all_sr_blocks=28683805_89006351_0_0_0&highlighted_blocks=28683805_89006351_0_0_0&matching_block_id=28683805_89006351_0_0_0&sr_pri_blocks=28683805_89006351_0_0_0__72046&from=searchresults#hotelTmpl,3 de 5,"El Hostal Ciudad Condal - Paseo de Gracia ofrece un alojamiento situado en el barrio de la ciudad de Barcelona. Las habitaciones se distribuyen por la planta principal de una casa con una arquitectura catalogada en el patrimonio municipal como el conjunto de Casas Àngel Batlló de la calle Mallorca, 255, entre el famoso paseo de Gracia y la animada Rambla de Cataluña.

Todas las habitaciones disponen de aire acondicionado, calefacción, baño privado, ventana, TV de pantalla plana, escritorio, caja fuerte, baúl, secador de pelo, artículos de aseo básicos y WiFi gratuita. Debido a las características arquitectónicas del edificio, todas las habitaciones son diferentes. Cada una de ellas presenta un diseño sencillo y funcional que se adapta al espacio.

El establecimiento ofrece habitaciones individuales, dobles, dobles superiores y triples, así como suites y habitaciones familiares con capacidad para un máximo de 4 personas. Algunos alojamientos tienen balcón con vistas a la calle o a los famosos jardines interiores del conjunto arquitectónico del Ensanche de Barcelona (plan Cerdà). Otras habitaciones son interiores.

En el paseo de Gracia y en la zona de Gracia hay muchas cafeterías y restaurantes.

El establecimiento se encuentra a unos 200 metros de la Casa Batlló y La Pedrera (obras de Gaudí). La estación de metro Diagonal está a 5 minutos a pie. La plaza de Cataluña y Las Ramblas se encuentran a solo 2 paradas de metro."
DO Plaça Reial powered by Sonder,"8,4","a 0,9 km del centro",,€ 1.920,https://www.booking.com/hotel/es/do.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4Apfl460GwAIB0gIkOTNiNmRlYjMtNWQyYy00YjE2LThiMWItYTFiMzczOTcyMDM32AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-29&checkout=2024-06-02&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=9c395b606e9202c0&srepoch=1706619590&all_sr_blocks=37584712_88208115_2_2_0&highlighted_blocks=37584712_88208115_2_2_0&matching_block_id=37584712_88208115_2_2_0&sr_pri_blocks=37584712_88208115_2_2_0__191982&nad_id=acd797e1-35f7-489b-b83f-33172e0f46ca_6&nad_cpc=0.71&nad_track=eyJyYW5rIjoxLCJrb2RkaVRyYWNraW5nSW5mbyI6IkxBdEZJekVDb3E2Zjg3WVpBQ3Bkam1NNXR6eW5hUlhPeWY1cEU4cDFWeFpVVUg2VXJNeEhHeUZTbjB4M3p4eHVlVis0WmQySk9mWVYrR3QveW5VaGptdFV1NkhZU3ZzRkprR1hkQ2gvQnhXdXZUak5kZGVIWDhQVWNHYlJmMFBRMVZiSkpPOXcybkpOTUJWOHp4RmhWNjY2RjJ5ZVdpZHhrWENtenQreWhkdk9uTDM2bGlIRDVHeU9RMjMvMlZoZEQ1ZndieVg5c0JHRzlqVnEvaFBqV1NQdXNKUmZlWndWV3Z4eDB6dEhDZWRTOTdUY0dYcStSVkozRHpacUtzZnA5dkpaSjR4c051TXlOODJWVFlLcHlIL2xCQlY3NDc0NVB0YmwxQnVUVDVnTFVDQTNTcEZaUGFHSTZDUU15ZTYyTzZNQ2hkbkkvOWM2RHpsMllMVFRhSGFMMVA3REpIb1h1VW1xQkdvelBrdXlTOXAxS0pPK240REVKRjFHbE91d01zb3Y0V0JJNnRESExSdXdOazk0VkZ2bmhMZnZJMkVnL3NQS21tdTBrNHZpN0lsK3YzZkpKSGxicEpEWkkvQkRaSE5yYUhEWDYyMXlSMHpLVGtpNzEzMTlhTWEzM1FjRmhtaTFIbjdFQUhRRUR4UnVkM2RqK0o0emE3dXpBd0l0UVFnTkh2Z0JwN2JDckVJM2oraUtlY2lPTERGSWtyMk9JYllCQWk2VU1kcUovYzVsTWUxUUozWlg0RS9LTi9RMHRIUUxVMC9LdXBRU1pRK2ZPTTNoUWlad0wvQ3BWd05wb0YvRjlVZ2NWbW1wTEwyTjJwY0NUTkpqNkR4cVpRMHd2RENhNU02WUJUOHlUQkZNSUlpWlZVbEUzbWx3Zk1DRWZnVTlvcERLMU5PajBsL1Z6Um9Xd3c4Sm5Yd2RWajE4OXp3eWJTYmFYbU5jek1HalM2YTRYcGJkOTRNK0tETUZOVUlYV2FuenZ3bjRldnh5Tk4zOXI2L3g1bjhQc2h6ZE1XMzZyRnVqbEErZEZQRlo5NjVJdlIxRFgram1RSE9jOWUrZE1iVmMvK01mOEpGc2RaZWljMU1ZM1RhTG1zZHlMb3JsNVNCa1kveDNkc1E1MVVQVHhpem1zNGQvVjJXK0Q2R05Nb0JxSXZiNFFNTVNOc3FMZ1I4a3EwanZKYWY0RFZEcUtiNXBNaTlDLzYzWkVWSTF1MU9KQmcxRFkrL2w5SFhhUGhabXQ1VGJvcHhndUxsUGNyYjhlaXVPN0EwVTZ2ZlBsMkZDa0xqYlpacGpNdXRyaXVTcEtxQVRweE1seEp1UlNwY0IvNk9OSVcyTm42aERLbCtwSitlSHhCK3dKKy8xemNUb3l2SVJOZFBRWDdmSTJSeVhCcUs4a3NpK0JRZGlwV1VEL2kwbTVDVFlEbjQ0dCt3UWROSGhKRnpIZTh0a1VZMytsQUdFZUl6aUwwaHh4Q0VuTWE4S01PM3RtVHhIK0V0Ymt3YUpjeEptcktkSWg1ZFBaeHdFRlcreVpKM2d0dVBBVXBqcVlDeEthUFFtaXlTYWpwVjJRQzBYZGZSZGRjVzhMWGlxdEpycHkzUXJxTCsxa3kwQXAxU2U2VDRTS3VldnlnYzlLaEdQQmZ3QUR3Y2dhTkZXZW80eEhFbHk3UDV6ZjVTYWFwMXFJYWtoVVY2Z3FHSWwrMDVHT095UVJkOGpxTjhVYStxZS80TitmdG9tZCtZWGt4Ym9hUTE5ZERMeGc3Z1dubUJUa1M0NlA5Zk5GZDF0MTFOUmthUjUzbXNMdlVLY1hQUjJCRldNMlo5cXlIZGJUZEpNdGFKeW9EcmpPSmdWSVRoUHArTWtubFJuQlhJUGNNdWdkakRkcGpVK3F2eXBCVjFXdVFmNDRuRTQwWEt2Wlc1YWdHb0orSm1JNjB0WlhWeGZNeDZvamZzc1d5R3FvT01VSFAyN1ZjWEgvTDloSkhmcDk2QmJhNThabHlrTmtxM0d0WFZOcVhlaTlaYytETjVOemg0aWFKdmJKU21pSlZKNHRxL3VzZWo4bE95MVNBWVNaT3ZYNld3MENFVnRBVXBieFBSTExxenZ1OThYYy8ybGp6QldsdWo0eGZVSndKMm9BdTJ1Mmd6N2dsTDEyY0dFaW9pOWtLMFlINi9PbExLc2ZMUS8xRCtrZUNqOFJsMkV1dFdHS0ZNNXRWdzI4OGVzNU9jdmZldXMrdHozaVVrQWYvd1FScG01ejAraUE0K1NqVElVcHJxTitrL3RUMHVsMVRqRnpMTUhmbGFhcHVGVEJzam1sbFY1ZG11YlBoSnlXZVpwOFpuZzZEbFMreXM2LzBsYUdWd21xa0M5OUtrYnlYOVlXaDQ2dzc1QmRCeGZFcGJMNGVRbjQwM084Z1BqN0lDMk9FWGRwNmtPL0FUOFloRGtBSGs4YU9Pa0VIL0d5ZE9yM1BVVWYvZFNtQytReW9ROGVEZTdncHZxd050cXZzUmpDR3BMSTdSbWQ5aU9STTlZUFEwQmlpOXFCY2xBb3BBTGxPVXZ3UEJ4b0lteGpUQ3lxMEkxRThpM0FHVFBNSVdFOWwrVWJISkNkV3NGbjBzaWVoRWNPVmVEM0RkQ0s3Qi9mbWFjbFRwSzBrSStDMUlCOUlxRG4yYVZWTFc4NDJQOTAveWNaM3dXT0RZcWlHeEVmQk1pdDlkVG05ODViWGJXallmcFhhK1ZCMkdSRDZGd1JwVERRUDVVdDE3ZStzMnIzdDJGMTh4bmVZVVp1ZXFuWHZRRkJmQ0xVSzRleUVPNVZ4aGhabHp0bFlBVGFlZ2VpTjNkUHUwdGZjTUMrUWk5aGgwVDF1dkpUelV0Qnl4R0gxUnRLUk9BbnppaW52OGpDbUV2TWIvWWNZSFdrMFNPSWU2S0ZuZktYelZwZTczaXFrWmR1cXlpWTVXM3d1VnIySzlCVmJ3Y0RseTQ5d0tKd1dQQ0orNWZuSlNQTzNzQllxVFFHQTAxSEpNOEg1SXErR3Vvckl0dDVWU1N4eTMzNVplOVJnYjdXZE9VZmhFTHFPaXRyTCt5RmptRnVUeXhaTjZnbUlDT01GYmxZb09HTm5nOEdHNGM0QVRjMzUxbzBSUjJ6U0l5ZitzQnQvSmJwc1N4YWxFRzlyRUZPdURmNDl4OWgvZ0UrREROaXZ6enM0VlZLQzVCZ1RDQ1FFTXRuVlRwckZBS2pZRlZuM2Q4Tng3aFllbEZ4eXYyZVBtNExUWW1WRFQ1QzZxdXhzZlpHLy9WUkNZPSJ9&from=searchresults#hotelTmpl,5 de 5,"Set on Plaza Reial and just off Las Ramblas, DO Plaça Reial powered by Sonder features a spa, a rooftop pool and stylish rooms. Bars and cafés can be found in the square and in the surrounding Gothic Quarter.

Each spacious, air-conditioned room offers a free Wi-Fi, a flat-screen TV and a free minibar.

In the mornings, the DO Plaça Reial offers a paid breakfast. Creative Mediterranean cuisine and tapas dishes are also served in the restaurant.

The hotel spa features a sauna.

The famous Boquería Market is just 5-minute walk away. Barcelona Cathedral, Liceu Metro and Plaza Catalunya are within 1 km of the hotel."
SEALONA VILA OLIMPICA,"8,4","a 1,8 km del centro",,€ 360,https://www.booking.com/hotel/es/sealona-vila-olimpica.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4Apfl460GwAIB0gIkOTNiNmRlYjMtNWQyYy00YjE2LThiMWItYTFiMzczOTcyMDM32AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-29&checkout=2024-06-02&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=9c395b606e9202c0&srepoch=1706619590&all_sr_blocks=1145535901_387391318_2_2_0&highlighted_blocks=1145535901_387391318_2_2_0&matching_block_id=1145535901_387391318_2_2_0&sr_pri_blocks=1145535901_387391318_2_2_0__36047&from=searchresults#hotelTmpl,4 de 5,"SEALONA VILA OLIMPICA está en Barcelona, a solo 12 min a pie de Platja de la Nova Icària, y dispone de alojamiento con bicicletas gratis, piscina al aire libre, jardín y wifi gratis. El apartamento, que tiene parking privado gratis, está en una zona en la que se pueden practicar actividades como senderismo, ciclismo y billar.

Este apartamento con aire acondicionado consta de 1 dormitorio independiente, 1 baño con artículos de aseo gratuitos y secador de pelo, y una zona de estar. El alojamiento ofrece cocina.

En el apartamento se puede disfrutar de un desayuno a la carta.

En la recepción 24 horas se habla alemán, inglés, español y francés, y el personal está dispuesto a ayudar en cualquier momento.

SEALONA VILA OLIMPICA ofrece terraza, zona de juegos infantil y barbacoa.

Cerca del alojamiento hay puntos de interés como Platja del Somorrostro, Platja del Bogatell y Port Olimpic. El aeropuerto (Aeropuerto de Barcelona - El Prat) está a 14 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto."
Habitaciones Viladomat,"8,0","a 1,7 km del centro",,€ 374,https://www.booking.com/hotel/es/habitaciones-viladomat.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4Apfl460GwAIB0gIkOTNiNmRlYjMtNWQyYy00YjE2LThiMWItYTFiMzczOTcyMDM32AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-29&checkout=2024-06-02&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=9c395b606e9202c0&srepoch=1706619590&all_sr_blocks=1144003305_387286074_2_0_0&highlighted_blocks=1144003305_387286074_2_0_0&matching_block_id=1144003305_387286074_2_0_0&sr_pri_blocks=1144003305_387286074_2_0_0__37400&from=searchresults#hotelTmpl,4 de 5,"Habitaciones Viladomat se encuentra en Barcelona, cerca de Estación de tren de Sants, Casa Batlló, y Fuente Mágica de Montjuïc, y ofrece wifi gratis.

Hay un baño compartido con bidet en todas las unidades, además de artículos de aseo gratuitos y secador de pelo.

Paseo de Gracia está a 2,2 km del alojamiento, y Plaza Cataluña está a 2,3 km. El aeropuerto más cercano (Aeropuerto de Barcelona - El Prat) está a 12 km del alojamiento."
Nice apartment BCN two rooms wifi,"8,4",a 2 km del centro,,€ 398,https://www.booking.com/hotel/es/nice-apartment-bcn-two-rooms-wifi.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4Apfl460GwAIB0gIkOTNiNmRlYjMtNWQyYy00YjE2LThiMWItYTFiMzczOTcyMDM32AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-29&checkout=2024-06-02&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=9c395b606e9202c0&srepoch=1706619590&all_sr_blocks=1099351801_382798455_2_0_0&highlighted_blocks=1099351801_382798455_2_0_0&matching_block_id=1099351801_382798455_2_0_0&sr_pri_blocks=1099351801_382798455_2_0_0__39842&from=searchresults#hotelTmpl,4 de 5,"Nice apartment BCN two rooms wifi está en el barrio de Sarrià-Sant Gervasi, en Barcelona, a 12 min a pie de La Pedrera y a 1,5 km de Casa Batlló, y ofrece alojamiento equipado con balcón y wifi gratis. El alojamiento ofrece vistas al jardín y está a 1,9 km de Paseo de Gracia y a 1,8 km de Estación de metro Passeig de Gràcia.

El apartamento se compone de 1 dormitorio, una cocina totalmente equipada y 1 baño. Hay TV de pantalla plana.

Plaza Cataluña está a 2,3 km del alojamiento, y Parque Güell está a 2,7 km. El aeropuerto (Aeropuerto de Barcelona - El Prat) está a 14 km."
TWO Hotel Barcelona by Axel 4* Sup- Adults Only,"8,4","a 1,5 km del centro",,€ 955,https://www.booking.com/hotel/es/two-barcelona-by-axel.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4Apfl460GwAIB0gIkOTNiNmRlYjMtNWQyYy00YjE2LThiMWItYTFiMzczOTcyMDM32AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-29&checkout=2024-06-02&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=9c395b606e9202c0&srepoch=1706619590&all_sr_blocks=131688502_0_2_0_0&highlighted_blocks=131688502_0_2_0_0&matching_block_id=131688502_0_2_0_0&sr_pri_blocks=131688502_0_2_0_0__95513&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,4 de 5,"El TWO Hotel Barcelona by Axel está situado en pleno barrio gay de Barcelona, a 2 km de la playa de la Barceloneta, y alberga una piscina en la azotea con solárium amplio.

Este hotel hetero friendly proporciona aparcamiento privado. También incluye recepción 24 horas y mostrador de información turística, donde se ofrece información sobre la ciudad y la zona gay. Además, la azotea alberga el bar Sky, un gimnasio, un baño de vapor y una sala de masajes.

Las habitaciones están equipadas con aire acondicionado y minibar. El baño es privado y consta de ducha y secador de pelo. Además, las habitaciones incluyen caja fuerte y cargador universal para teléfonos móviles.

El alojamiento alberga un bar en la azotea con vistas impresionantes a la ciudad, así como un bar salón donde se preparan cócteles fabulosos. El alojamiento sirve un desayuno buffet todas las mañanas y ofrece WiFi gratuita de alta velocidad en todas las instalaciones.

El personal puede facilitar información sobre la zona de los alrededores, conocida como “Gayxample” debido a su animado ocio nocturno gay.

El hotel se encuentra a 2 minutos a pie de la estación de metro de Rocafort y a 10 minutos a pie de la plaza España, que ofrece enlace directo en autobús con el aeropuerto de Barcelona. El TWO Hotel Barcelona by Axel se encuentra a 1,3 km de la avenida del Paralelo, repleta de bares, restaurantes, discotecas y teatros."
Habitación triple/Ramblas,"7,4",a 450 m del centro,,€ 427,https://www.booking.com/hotel/es/habitacion-triple-ramblas.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4Apfl460GwAIB0gIkOTNiNmRlYjMtNWQyYy00YjE2LThiMWItYTFiMzczOTcyMDM32AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-29&checkout=2024-06-02&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=9c395b606e9202c0&srepoch=1706619590&all_sr_blocks=1141828401_387021215_2_0_0&highlighted_blocks=1141828401_387021215_2_0_0&matching_block_id=1141828401_387021215_2_0_0&sr_pri_blocks=1141828401_387021215_2_0_0__42677&from=searchresults#hotelTmpl,2 de 5,"Habitación triple/Ramblas se encuentra a 2,9 km de Platja de Sant Sebastià y a 2,9 km de Platja de Sant Miquel, y ofrece alojamiento en una zona céntrica de Barcelona. Este apartamento está a 3 km de Platja de la Barceloneta y a 7 min a pie de Mercado de la Boquería.

Cerca del alojamiento hay puntos de interés como Paseo de Gracia, Plaza Cataluña y Estación de metro Passeig de Gràcia. El aeropuerto más cercano (Aeropuerto de Barcelona - El Prat) está a 12 km del alojamiento."
Hotel Sansi Barcelona,"8,2",a 450 m del centro,,€ 886,https://www.booking.com/hotel/es/sansi-barcelona-barcelona.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4Apfl460GwAIB0gIkOTNiNmRlYjMtNWQyYy00YjE2LThiMWItYTFiMzczOTcyMDM32AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-29&checkout=2024-06-02&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=9c395b606e9202c0&srepoch=1706619590&all_sr_blocks=0_0_2_0_0&highlighted_blocks=0_0_2_0_0&matching_block_id=0_0_2_0_0&sr_pri_blocks=0_0_2_0_0__88586&from=searchresults#hotelTmpl,4 de 5,"Hotel Sansi Barcelona está muy bien situado en el barrio de Eixample, Barcelona, a 7 min a pie de Plaza Cataluña, a 400 metros de Estación de metro Passeig de Gràcia y a 6 min a pie de Casa Batlló. Este hotel de 4 estrellas ofrece servicio de habitaciones, recepción 24 horas y wifi gratis. El alojamiento está a 5 min a pie de Paseo de Gracia y a 600 metros del centro de la ciudad.

El hotel ofrece habitaciones con aire acondicionado, escritorio, caja fuerte, TV de pantalla plana y baño privado con bañera.

Cerca del alojamiento hay puntos de interés como Mercado de la Boquería, Teatro Tívoli y Palacio de la Música Catalana. El aeropuerto más cercano (Aeropuerto de Barcelona - El Prat) está a 13 km."
Catalonia Eixample 1864,"8,7","a 0,7 km del centro",,€ 949,https://www.booking.com/hotel/es/catalonia-eixample-1864.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4Apfl460GwAIB0gIkOTNiNmRlYjMtNWQyYy00YjE2LThiMWItYTFiMzczOTcyMDM32AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-29&checkout=2024-06-02&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=9c395b606e9202c0&srepoch=1706619590&all_sr_blocks=9058506_194606341_0_2_0&highlighted_blocks=9058506_194606341_0_2_0&matching_block_id=9058506_194606341_0_2_0&sr_pri_blocks=9058506_194606341_0_2_0__94920&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,4 de 5,"Este hotel ocupa un edificio del siglo XIX situado en el barrio del Eixample, en Barcelona, y ofrece interiores modernos decorados con elegancia y WiFi gratuita. El alojamiento se encuentra a solo 300 metros del paseo de Gràcia, que alberga tiendas de diseño y edificios diseñados por Gaudí.

El Catalonia Eixample 1864 está ubicado en uno de los edificios más antiguos del Eixample y cuenta con una fachada pintada declarada monumento histórico-artístico.

Todas las habitaciones están insonorizadas y disponen de baño privado, suelos y muebles de madera elegantes, aire acondicionado y Smart TV con aplicación Chromecast. Algunas habitaciones tienen terraza privada y piscina.

Todas las mañanas se sirve un desayuno buffet con cocina en vivo en la Sala Minerva, mientras que el restaurante del hotel, Les Finestres de Llúria, propone comida tradicional catalana con un toque creativo. Se proporciona servicio de habitaciones.

El Catalonia Eixample 1864 cuenta con piscina en la azotea, terraza, bar y gimnasio.

El Catalonia Eixample 1864 goza de una ubicación ideal, a solo 5 minutos a pie de la estación de Passeig de Gràcia. El alojamiento se halla a 10 minutos a pie de la plaza Catalunya.

El hotel ofrece aparcamiento privado por un suplemento y estación de carga para vehículos eléctricos."
Catalonia Diagonal Centro,"8,4","a 1,3 km del centro",,€ 894,https://www.booking.com/hotel/es/catalonia-diagonal-centro.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4Apfl460GwAIB0gIkOTNiNmRlYjMtNWQyYy00YjE2LThiMWItYTFiMzczOTcyMDM32AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-29&checkout=2024-06-02&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=9c395b606e9202c0&srepoch=1706619590&all_sr_blocks=0_0_2_0_0&highlighted_blocks=0_0_2_0_0&matching_block_id=0_0_2_0_0&sr_pri_blocks=0_0_2_0_0__89376&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,2 de 5,"El Catalonia Diagonal Centro se encuentra en pleno centro del barrio barcelonés del Eixample, a 300 metros de la estación de metro Diagonal. Cuenta con piscina de temporada al aire libre y WiFi gratuita en todas las instalaciones.

El Catalonia Diagonal Centro ofrece alojamiento cómodo y moderno cerca de los lugares más famosos de Barcelona.

Se halla a 300 metros de La Pedrera, en la avenida Passeig de Gràcia, una de las creaciones más famosas de Gaudí. Está cerca de los edificios modernistas, la plaza Catalunya y Las Ramblas.

Las elegantes habitaciones incluyen muebles modernos de madera y baño de mármol. Disponen de TV vía satélite y WiFi gratuita.

El hotel está a unos pasos del barrio de Gràcia, con sus tiendas bohemias, sus plazas arboladas y su gran número de bares y restaurantes. En las inmediaciones hay varias paradas de metro y autobús que permiten acceder fácilmente al resto de la ciudad. Las habitaciones incluyen TV inteligente con Chromecast."
