Hotels,Ratings,Distance,District,Price,Link,Star,Descriptions
apartment next to park guell,"9,0","a 2,7 km del centro",,€ 1.608,https://www.booking.com/hotel/es/apartment-park-guell-barcelona.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AqP7za0GwAIB0gIkYzVlYjU3ZGEtNDY0MC00NjAzLWI4ZTMtNzNiNTkwYjNkYjFl2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-02-25&checkout=2024-03-01&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=fa2b44327d1c0001&srepoch=1706262122&all_sr_blocks=1133249901_386063787_4_0_0&highlighted_blocks=1133249901_386063787_4_0_0&matching_block_id=1133249901_386063787_4_0_0&sr_pri_blocks=1133249901_386063787_4_0_0__160750&from=searchresults#hotelTmpl,4 de 5,"Apartment next to park guell se encuentra en Barcelona, a menos de 1 km de Parque Güell y a 2,2 km de La Pedrera, y ofrece alojamiento con equipamiento como wifi gratis y TV de pantalla plana. Este apartamento está a 1,9 km de Sagrada Familia y a 2,7 km de Casa Batlló.

Este apartamento con aire acondicionado da a una terraza y cuenta con 1 dormitorio y cocina totalmente equipada.

Paseo de Gracia está a 3,1 km del alojamiento, y Estación de metro Passeig de Gràcia está a 3,2 km. El aeropuerto más cercano (Aeropuerto de Barcelona - El Prat) está a 15 km del alojamiento."
Melia Barcelona Sky 4* Sup,"8,2","a 3,3 km del centro",,€ 3.343,https://www.booking.com/hotel/es/melia-barcelona-sky.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AqP7za0GwAIB0gIkYzVlYjU3ZGEtNDY0MC00NjAzLWI4ZTMtNzNiNTkwYjNkYjFl2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-02-25&checkout=2024-03-01&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=fa2b44327d1c0001&srepoch=1706262122&all_sr_blocks=9755035_91989330_2_34_0&highlighted_blocks=9755035_91989330_2_34_0&matching_block_id=9755035_91989330_2_34_0&sr_pri_blocks=9755035_91989330_2_34_0__334300&nad_id=e3fe9ca6-a7f9-4ba4-9cd5-07ae34a6d0df_0&nad_cpc=0.7&nad_track=eyJyYW5rIjoxLCJrb2RkaVRyYWNraW5nSW5mbyI6IlhHZ1ArQWlOSEM3WmlVWEtJV1hlVkQxdCt4VFEvY0VZNVMwSVZ4eFBtc0dSMFhNdXBGM1lPUHFLLzRvelhFaTFxWTM0V3pLTk5qMEt4MUx5ZDY0cW5ZZTlrRzJTWW1reVBxMXIyRGovNTNyaE1VZzFtd1NXT0c1YmU0cEV6R0poSnlpempzaEhkZTcwNXJJMkxZVFVDeS9Lelpqb2NHVEpJaVVwMHl6WVZrdmQyd3FIVldJVSthL0hhdHRuMGZGems0U0NjSFRkYTd0aWE4ZktTOWRJZG5JeXNlWnhlZzdLVXVTcFhxZzdFaHhWdmVydkRBK3BCYUdOMlRMR3pMUElBZVphTHVXcHAzci96MVNDWkVMYjZVVHo4Z1hJK2hhM3RtSDJTK2xwQmk0QnU3ZGVHZVhpZmR1SjhMODJOKyt3MVFGeXo2UTlrZDdCMVVZMXE5M0FHcEwwOUJGMkpaR0xYZ000ZzdkRUhpZ0xpZWFjSnZTQzdwS2l0UXJ1ZjlCZXNjSUpoZk93QlNOdkhmQTNCRlVGU3gzSE8vSGhrU2dRbUkwajE2bEphbjBTQ3J5ZkwwanZOSitrelBieno5MnNiTE50Tm5ncEFTeWNyejBQWDZmMmNwNEczZys2N2tVZDBCZ1preVZjbC8zNEhrbFBuSWs1QW9tYTlNa0hUUE4zeHNaOHQxREcxelJVeENuUlF6WndzWjFRZW1hYUFPaE1UNlQ4dnAzU0JzaVo4OGp2eTQ5VU55OUZXTkVaYXJlQ29lMFI4TFJzWUVKQnJXZzFhcVVHRlhXMUhtWE5oNXp3SFkwd1JRbCtldmpoWjR6ZEdtYWw3M0VoUjloTW5qSFVzbGQyeHRwTCtvaVcva2FzakY0TXJmKzdaYkhTS1d1MEtBbHNjVTlIM3VndjZmUE5FN09xZUsrYWN0UnE4ZXlGK3lFZ0RzTUxzZWNOeEJ3V2VyMkErcU91MjR3cFNBbVZjRFFUQ1BtUTZFSWhBWlNpeElzTEZJWjNwZHluZ3hoWERjMCtaMVJJNENzaGFyT2FBbWZEdFBOVXpqdldvSHBrYVJxRVBmRm4rbGFneE9tbFV6TDdkN0dIS0EydGJVUU43RHlJNGswdmwzT01scDVuVzFTL09lUFBaWW8wWE5jYzh6cStTOWVnY0c0YXRoUnNlWGFDSDZtUUZJdWdJblF4cGNGekR1Ni9ZY0FvYXk4a0ErdVpFV0x3WVB2YmJQaEE5eUk2aEZGVEdPS29IVkRjYjBuTURWR0NSQlRKZTUxM0RHSnhWMWMrUThiTFJta3RqSzJOaGpTV25Cajd5TUFXc3F2dFA1T2ZjRzNYQ25zeTZRdnBocldXWklmangwWmNPK2VEY2N4TGV5d0xvUGR3bGpBZnpkQU1kazVpYnFvOFR4clRaU3dOUGRhRHdtdDk2TWFubzB4ejQxWHFBWHBhQm9mUGdNeWo0Q3NqSEFtamxaTFhTTUJDalJtVkt2L1U5SFRCa0dMaXplREtoNjhJbG50azRpZTF4R0pqbWtpaXZIM0dqSGZWNWxpbW94S3hTYTlqMUxQZDRIZGEyck9RazhzRU1XQ0VrTE96cmZPYmYzUDJjazJvOFkvUWxTN0c4MmxDbndDbVdYL0x4M1hjZUJYRWlwVGJlUzUxRHBtUVF5eVpXYlFWb2d4ZEJzUi84UXFteVNXY3J5bGc2Zm1sVGg1cldCTjhodytUVXY4Vy9rSHlER21aRDN5Qlh5Rks4aGhDcE5LR3JGbjk0VnRGS2c5eEY0SHYycXo2bVVJRHZ4NkZjbEptUzJKODMvRi9CUVUzZHZDRWFDdUV0cFpMbTR1d0c3Z2tiaFAzZ2djbjBaZlBLaUNhbjMwdzRnSUhkWThqSlBmQ3hpS1M1cUpoNlVKMi9qNDN4SVdTQ0xYVlZjR29HMnh6VG42WHBUcTJPOGhDLy9kN1BLMHZmSDN3YWZhVG4xYlI3amovY0pDakRYTEswdHFNMk02WWJNbUs5bVJZT3RWVTNwN3FUaWcwb1RXd1MxV3UzQ0cyTDBUZ0YwalMzTDF6SGViRkVaem05c0xsQVBrQjZ2OEo0UzUzTy9oM0wyMHk3NzJYeHI0Ly9oQXgxV3ZrZmZHa3lHUExxWlJYMTduOEV1dXQwV2pydEphd0tYNWdnYVhWb1BTamx0bVpQb0Q1U3hLS2hLS3Iyd2dxVkkxYzliQStKZUZwTDFOM3A2SDYzRUVQUU1xdmRaeEMwdm1aNVZFby9obmdEVFFXTFFxSkNwbnB2bDdLaHVyUFkzeDBDeFEwU2s5Uk5pKzhRMFlSRU9LTVdrWjdkM0kyVVFMZUNiaEpCbGhOKzN4Q1hkVksxc0JKb2c1ZTIrM1FwMXZRUVRzVWNYUk1yVXdmdXNwc0ViamtleDlHZFhEUWNEM2RhTGh0MkRrN2M1ZEdDQU9sQ0dZeDhwSXM3SWtQV0I3MmlBM0xZSEd1YWE5Q004Nmcrd2puN0phYzVwZ0l4dFphWW04S1dsVGpMdzI4SFoxSExweS9INTBOazBIRjRSdTZHTUZlTFltWnZRRlhMWXMwOTFFNTFpR1J5OVZ4dDFFSXdGdmErQkhxK3lycnhxelZrWERwaVlVQy8zMXNQQjM4TERsa0NHbTlReC92cnhvSUlOelk0MUpmZFh0UjYxbEdobERQWVhnR1d5Nlo0VmY0eUlhWUE4eUowbnhKcys2YjA1VSthOEpaTHhiYkhtTGRSRmJXY0VSMGVTazZ0eFlkZVJHM1UvNXM5Z3FSUE9JRFgwMXVGQ29JZ2VxQzZaTHB5c3Uza2pSbWNST3ZRZU5ac1R1bFNRMWExNms1allIV0RxMFA3K2dJSnR3Z1psbitwcEhYYWhPZkRGQlc4eC9UNGZQN05sQXBYRys1OTJiWlliWm5HbVlyZ3N2R2J5VE8zTTYwdjhQaEoyeHhRTmJBVnB2SkJFMEh0MFlmb2cwR0EyaGxYaHFLYlMwNFZkQ2ozM1ZEeko1Q2pPWlh0TVJiSGdhWTRwblJ2RDl6YkI2eXBmSnNBbkp4OTdkTERkdmlaUWpTTVpGc0dBbjN2ZjZpK3JRSW1tUjYxQmJjVEhtTmh2TEplaTlDQy9Md1F5UHdMTzhRblFqazhyRm1xVDF1V3AyQU4zV3hSVXVLWWZDV3VneGtBVFhrTlpVdjRxTXpod2tld0Z3UFNXc21nV1c0bitDZitTb1JKVllWckhSU1VCbSthNDZaTjl1aldBOHZGYXA3a1Jsc0ZSaHVYUT09In0%3D&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,4 de 5,"Este hotel de diseño ocupa uno de los edificios más altos de Barcelona y tiene vistas espectaculares al mar y a la ciudad. El Melia Barcelona Sky cuenta con piscina al aire libre. El Serena SPA Wellness ofrece tratamientos, mientras que el gimnasio es de acceso gratuito.

Todas las habitaciones del Melia Barcelona Sky son amplias, ofrecen vistas a la ciudad y están equipadas con TV de plasma de 32 pulgadas. También incluyen baño elegante con ducha de efecto lluvia.

Los huéspedes podrán tomar un cóctel en la terraza panorámica Skyline 24, situada en la planta 24, que tiene vistas a la ciudad.

El restaurante Merkado elabora cocina mediterránea y alberga una terraza donde se sirven cócteles. Se proporciona WiFi gratuita en todas las instalaciones.

El Melia Barcelona Sky se encuentra en el animado barrio de Poblenou, a solo 200 metros de la estación de metro Poblenou. El Fórum de Barcelona y del Centro de Convenciones Internacional de Barcelona (CCIB) quedan a 15 minutos a pie. Asimismo, el hotel está situado a solo 10 minutos a pie de la playa de la Mar Bella."
Nice room By Eixample,"6,7","a 1,3 km del centro",,€ 687,https://www.booking.com/hotel/es/nice-room-for-2-by-eixample.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AqP7za0GwAIB0gIkYzVlYjU3ZGEtNDY0MC00NjAzLWI4ZTMtNzNiNTkwYjNkYjFl2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-02-25&checkout=2024-03-01&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=fa2b44327d1c0001&srepoch=1706262122&all_sr_blocks=1071251303_379642379_2_0_0&highlighted_blocks=1071251303_379642379_2_0_0&matching_block_id=1071251303_379642379_2_0_0&sr_pri_blocks=1071251303_379642379_2_0_0__68730&from=searchresults#hotelTmpl,5 de 5,"Nice room By Eixample se encuentra en Barcelona, a menos de 1 km de Casa Batlló y a 15 min a pie de Paseo de Gracia, y ofrece alojamiento con wifi gratis en todo el alojamiento. El alojamiento está a 14 min a pie de Estación de metro Passeig de Gràcia, a 1,7 km de Palacio de la Música Catalana y a 17 min a pie de Teatro Tívoli. El alojamiento está a 1,4 km del centro de la ciudad y a 6 min a pie de La Pedrera.

En el albergue, todas las habitaciones están equipadas con baño compartido con ducha.

Cerca del alojamiento hay puntos de interés como Portal del Ángel, Sagrada Familia y Plaza Cataluña. El aeropuerto más cercano (Aeropuerto de Barcelona - El Prat) está a 14 km del alojamiento."
Mercedes Heritage Apartments,"8,5","a 1,5 km del centro",,€ 3.565,https://www.booking.com/hotel/es/provenza-mbs.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AqP7za0GwAIB0gIkYzVlYjU3ZGEtNDY0MC00NjAzLWI4ZTMtNzNiNTkwYjNkYjFl2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-02-25&checkout=2024-03-01&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=fa2b44327d1c0001&srepoch=1706262122&all_sr_blocks=55436604_386155555_6_0_0&highlighted_blocks=55436604_386155555_6_0_0&matching_block_id=55436604_386155555_6_0_0&sr_pri_blocks=55436604_386155555_6_0_0__356500&from=searchresults#hotelTmpl,2 de 5,"El Mercedes Heritage Apartments, situado en l'Eixample, en el centro de Barcelona, 2 km de la Plaça de Catalunya y a 2 minutos a pie de la parada de metro de Hospital Clinic, ofrece apartamentos independientes.

Los apartamentos amplios y modernos cuentan con conexión WiFi gratuita, baño privado con bañera o ducha y zona de cocina totalmente equipada con lavavajillas y microondas. Los apartamentos superiores también incluyen aire acondicionado.

La Rambla está a 25 minutos en autobús, mientras que la Sagrada Familia queda a 4 paradas de metro del Mercedes Heritage Apartments."
Gran Hotel La Florida G.L Monumento,"8,7","a 5,9 km del centro",,€ 1.963,https://www.booking.com/hotel/es/gran-la-florida.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AqP7za0GwAIB0gIkYzVlYjU3ZGEtNDY0MC00NjAzLWI4ZTMtNzNiNTkwYjNkYjFl2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-02-25&checkout=2024-03-01&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=fa2b44327d1c0001&srepoch=1706262122&all_sr_blocks=9369904_91908501_0_2_0&highlighted_blocks=9369904_91908501_0_2_0&matching_block_id=9369904_91908501_0_2_0&sr_pri_blocks=9369904_91908501_0_2_0__196330&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,4 de 5,"El Gran Hotel La Florida G.L Monumento, de 5 estrellas, se encuentra en la montaña del Tibidabo y ofrece vistas a Barcelona y al mar Mediterráneo. Los huéspedes tienen acceso gratuito al spa.

Las habitaciones de La Florida disponen de WIFI gratuita y TV de plasma interactiva de 37 pulgadas. Los baños cuentan con artículos de aseo de l'Occitane, bañera y ducha. Algunas también disponen de balcón privado.

Los huéspedes pueden admirar las vistas desde las terrazas y los jardines panorámicos de La Florida. El Spa by L'Occitane incluye una piscina de acero inoxidable, tanto cubierta como al aire libre. También dispone de bañera de hidromasaje, sauna, duchas de presión y una gran variedad de equipo de fitness.

El restaurante del hotel sirve platos gourmet de cocina catalana, española y mediterránea. También hay 2 bares."
Hostal Boqueria,"8,4","a 0,6 km del centro",,€ 1.657,https://www.booking.com/hotel/es/hostal-boqueria.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AqP7za0GwAIB0gIkYzVlYjU3ZGEtNDY0MC00NjAzLWI4ZTMtNzNiNTkwYjNkYjFl2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-02-25&checkout=2024-03-01&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=fa2b44327d1c0001&srepoch=1706262122&all_sr_blocks=1487401_95139617_0_0_0&highlighted_blocks=1487401_95139617_0_0_0&matching_block_id=1487401_95139617_0_0_0&sr_pri_blocks=1487401_95139617_0_0_0__165725&from=searchresults#hotelTmpl,4 de 5,"Este establecimiento se encuentra en las Ramblas de Barcelona, a menos de 200 metros de la estación de metro Liceu. Ofrece habitaciones sencillas y cómodas, así como WiFi gratuita en todas las instalaciones.

Las habitaciones del Hostal Boqueria son funcionales y cuentan con aire acondicionado, calefacción, TV por cable y caja fuerte. Incluyen baño privado cuenta con secador de pelo. Las habitaciones con vistas a las Ramblas están sujetas a disponibilidad.

El Boqueria dispone de recepción 24 horas. Hay consigna de equipaje.

El establecimiento está situado en una zona céntrica, por lo que es ideal para visitar Barcelona. El mercado de la Boquería se encuentra al otro lado de las Ramblas. La catedral de Barcelona y el barrio gótico están a 5 minutos a pie del Hostal Boqueria."
The Streets Apartments Rambla,"9,2",a 1 km del centro,,€ 2.654,https://www.booking.com/hotel/es/the-streets-apartments-rambla-barcelona.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AqP7za0GwAIB0gIkYzVlYjU3ZGEtNDY0MC00NjAzLWI4ZTMtNzNiNTkwYjNkYjFl2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-02-25&checkout=2024-03-01&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=fa2b44327d1c0001&srepoch=1706262122&all_sr_blocks=997178904_372582803_2_0_0&highlighted_blocks=997178904_372582803_2_0_0&matching_block_id=997178904_372582803_2_0_0&sr_pri_blocks=997178904_372582803_2_0_0__265370&from=searchresults#hotelTmpl,4 de 5,"The Streets Apartments Rambla, que cuenta con terraza y wifi gratis, se encuentra en el centro de Barcelona, cerca de Platja de Sant Sebastià, Platja de Sant Miquel y Plaza Cataluña.

El alojamiento tiene aire acondicionado, cocina totalmente equipada y con zona de comedor, TV de pantalla plana y baño privado con ducha, artículos de aseo gratuitos y secador de pelo.

Cerca del alojamiento hay puntos de interés como Teatro Tívoli, Paseo de Gracia y Palacio de la Música Catalana. El aeropuerto más cercano (Aeropuerto de Barcelona - El Prat) está a 14 km del alojamiento."
TWO Hotel Barcelona by Axel 4* Sup- Adults Only,"8,4","a 1,5 km del centro",,€ 2.214,https://www.booking.com/hotel/es/two-barcelona-by-axel.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AqP7za0GwAIB0gIkYzVlYjU3ZGEtNDY0MC00NjAzLWI4ZTMtNzNiNTkwYjNkYjFl2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-02-25&checkout=2024-03-01&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=fa2b44327d1c0001&srepoch=1706262122&all_sr_blocks=131688502_85661201_0_2_0&highlighted_blocks=131688502_85661201_0_2_0&matching_block_id=131688502_85661201_0_2_0&sr_pri_blocks=131688502_85661201_0_2_0__221400&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,4 de 5,"El TWO Hotel Barcelona by Axel está situado en pleno barrio gay de Barcelona, a 2 km de la playa de la Barceloneta, y alberga una piscina en la azotea con solárium amplio.

Este hotel hetero friendly proporciona aparcamiento privado. También incluye recepción 24 horas y mostrador de información turística, donde se ofrece información sobre la ciudad y la zona gay. Además, la azotea alberga el bar Sky, un gimnasio, un baño de vapor y una sala de masajes.

Las habitaciones están equipadas con aire acondicionado y minibar. El baño es privado y consta de ducha y secador de pelo. Además, las habitaciones incluyen caja fuerte y cargador universal para teléfonos móviles.

El alojamiento alberga un bar en la azotea con vistas impresionantes a la ciudad, así como un bar salón donde se preparan cócteles fabulosos. El alojamiento sirve un desayuno buffet todas las mañanas y ofrece WiFi gratuita de alta velocidad en todas las instalaciones.

El personal puede facilitar información sobre la zona de los alrededores, conocida como “Gayxample” debido a su animado ocio nocturno gay.

El hotel se encuentra a 2 minutos a pie de la estación de metro de Rocafort y a 10 minutos a pie de la plaza España, que ofrece enlace directo en autobús con el aeropuerto de Barcelona. El TWO Hotel Barcelona by Axel se encuentra a 1,3 km de la avenida del Paralelo, repleta de bares, restaurantes, discotecas y teatros."
Hotel Paxton Barcelona,"8,7","a 2,9 km del centro",,€ 4.411,https://www.booking.com/hotel/es/paxton-barcelona.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AqP7za0GwAIB0gIkYzVlYjU3ZGEtNDY0MC00NjAzLWI4ZTMtNzNiNTkwYjNkYjFl2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-02-25&checkout=2024-03-01&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=fa2b44327d1c0001&srepoch=1706262122&all_sr_blocks=621286106_242290573_2_2_0&highlighted_blocks=621286106_242290573_2_2_0&matching_block_id=621286106_242290573_2_2_0&sr_pri_blocks=621286106_242290573_2_2_0__441148&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,2 de 5,"Hotel Paxton Barcelona se encuentra en Barcelona, a 12 min a pie de Platja del Bogatell, y ofrece alojamiento con piscina de temporada al aire libre, parking privado, centro de fitness y salón de uso común. Este alojamiento ofrece restaurante, servicio de habitaciones y recepción 24 horas, además de wifi gratisen todo el alojamiento. Algunas habitaciones del alojamiento incluyen una terraza con vistas a la ciudad.

El hotel ofrece habitaciones con aire acondicionado, escritorio, cafetera, minibar, caja fuerte, TV de pantalla plana y baño privado con ducha. En Hotel Paxton Barcelona, cada habitación está equipada con ropa de cama y toallas.

En el alojamiento se puede disfrutar de un desayuno buffet.

Cerca del alojamiento hay puntos de interés como Playa de la Mar Bella, Platja de la Nova Icària y Port Olimpic. El aeropuerto más cercano (Aeropuerto de Barcelona - El Prat) está a 16 km del alojamiento."
Suite Home Sagrada Familia,"8,3","a 2,2 km del centro",,€ 3.263,https://www.booking.com/hotel/es/suite-home-barcelona.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AqP7za0GwAIB0gIkYzVlYjU3ZGEtNDY0MC00NjAzLWI4ZTMtNzNiNTkwYjNkYjFl2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-02-25&checkout=2024-03-01&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=fa2b44327d1c0001&srepoch=1706262122&all_sr_blocks=32587805_88497919_4_0_0&highlighted_blocks=32587805_88497919_4_0_0&matching_block_id=32587805_88497919_4_0_0&sr_pri_blocks=32587805_88497919_4_0_0__326260&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,1 de 5,"Situado en la arbolada avenida Gaudí, el Suite Home Barcelona está a sólo 250 metros de la catedral de la Sagrada Familia. Algunos apartamentos ofrecen vistas al famoso monumento de Barcelona, Algunos apartamentos ofrecen vistas al famoso monumento de Barcelona, Todos los apartamentos están completamente equipados y cuentan con aire acondicionado. El establecimiento proporciona conexión WiFi gratuita.

Los apartamentos presentan una decoración elegante con suelo de parquet y muebles contemporáneos e incluyen caja fuerte gratuita Zona de salón comedor de gran tamaño con TV de pantalla plana y reproductor de CD. Caja fuerte.

Los apartamentos también disponen de cocina con placa eléctrica, horno, lavavajillas y microondas. Hay lavadora y utensilios de planchado.

Los apartamentos de lujo del Suite Home se encuentran a pocos pasos de varios restaurantes, cafeterías y supermercados."
