Hotels,Ratings,Distance,District,Price,Link,Star,Descriptions
Hotel Olympia Universidades,"8,4","a 2,1 km del centro",,€ 337,https://www.booking.com/hotel/es/universidades.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AoPG460GwAIB0gIkOTNhMDA4ODYtN2RjOC00NTYyLWE5NTAtZTJlZTU0YTMwNmI42AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-24&checkout=2024-05-28&dest_id=-406131&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=462453a329cc0060&srepoch=1706615638&all_sr_blocks=130173102_85709815_0_2_0&highlighted_blocks=130173102_85709815_0_2_0&matching_block_id=130173102_85709815_0_2_0&sr_pri_blocks=130173102_85709815_0_2_0__33700&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,3 de 5,"El Hotel Olympia Universidades ofrece habitaciones modernas y WiFi gratuita en todas sus instalaciones. El hotel está situado a 10 metros de la estación de metro de Benimaclet, que comunica con la playa, el centro y el aeropuerto de Valencia.

Las habitaciones exteriores del Hotel Olympia Universidades están insonorizadas y disponen de aire acondicionado, TV de pantalla plana de 32 pulgadas y baño privado con ducha y artículos de aseo gratuitos. Algunas tienen vistas a la ciudad.

El Hotel Olympia Universidades proporciona servicio de alquiler de bicicletas y queda a 5 minutos a pie de varios bares y restaurantes y los Jardines del Real.

El establecimiento está a 10 minutos en tranvía de la estación del Norte de Valencia, a 12 km del aeropuerto y a 10 metros de la parada de tranvía más cercana, que comunica con la playa de La Malvarrosa en menos de 15 minutos."
Melia Valencia,"8,5","a 3,5 km del centro",,€ 691,https://www.booking.com/hotel/es/melia-valencia.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AoPG460GwAIB0gIkOTNhMDA4ODYtN2RjOC00NTYyLWE5NTAtZTJlZTU0YTMwNmI42AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-24&checkout=2024-05-28&dest_id=-406131&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=462453a329cc0060&srepoch=1706615638&all_sr_blocks=29049323_91989386_2_34_0&highlighted_blocks=29049323_91989386_2_34_0&matching_block_id=29049323_91989386_2_34_0&sr_pri_blocks=29049323_91989386_2_34_0__69100&nad_id=bc4cb771-8bc4-4182-bbc9-c8005d62397b_0&nad_cpc=0.5&nad_track=eyJyYW5rIjoxLCJrb2RkaVRyYWNraW5nSW5mbyI6IjBXU1R2T084YjRDa05UVk5wK3hIK0FBT2IwMFVmRFFGM29aVWJTcG5LUzVpbC9WRkpiRVgrbWxaU0JDL1kvQVhCZjRrL2ZObm1rb1hmS1B1Y1dHdjR6Z2dYb3BRd0kyZTFwOG4zQTVidWhFMzM0R3B3WVdXTlgvUHdHYTVMRytVN2s4bjNDUFgwY1lYaFl4WE9hWnRKMWpSdnZiR2JZSlZjVFZVUko5N21SSUJWaFpwOXhqUExOL2xRU1hFVmJEalE3bCtZaGtIQ2NCaFlBL1RFT1dtYUo2aWhMNEdCZmVwaG1YcFpKcm1KeWhDQnVWTjNoakFnMmMvMThER0FoVExHdlVxWHFtbW1qZ1hkbU9ZZDlpUENiMzhIQlNGRURJNk15RlBkekE0ZmVKR1pWZ21ZK2x0THhOYUprUkNMaGxOcS93U3pjalFDbDRQVlo2Tzh4M0o3NVJUMXdtZjFEY0ozR01wZGRqVmdaME1NQ2lsOUk3dzlLZytIRG9uQ3hlM0RuOVMzU0MxWkNsUS9zdCt2aCtQOEhnYWFraTJpRzZ3Qy9tMk1VTFRGNjNNbDVWZi9mU01VK3lneFdldGZJZThnemwvRTVvZFFhQUgyUzVDbUt5aDlCTWxFc0xWbll6QVg4VWprWXlISWNVcVVnbTVhZkdCTFVGaXR0Q3VsV25FZFI5aU82V0tmb3gwUmJMMW9jemgrZUJ3cjJUckdhd0VwSktKZ0I5ZEhzUVRwZTM0U09MS29HSGwremVLdXpDWGpWOFQvTWhncm9RRGNxL0hGdzdMdlhjV1U3ZUdPQWJLN0lEcnNSZUFQQWVjd3dBeFk3ZHI4OTB5enFSbWdSU1RoRUhVcWpyRUpIWExxZjUyR2w3UFQxako0NGNoVy9naVZaZ2lMdHZTNTdVTi9hdkdqTHZTL09udmV1dXNIMUFxMUpvVUhma3RrWXlJR0JBWGNSNUdHa0gwWmNvYWNyVFdzUnNwRzhwUlFtV0JXbGRCRFdXUUdTM1dXaFZtd3c4b093Tk1PQ0RBeWViS29ZM05KRDczSW16WnUvTVl5SDkxdUljNnZmMmEvYUxMUUtKbnNaYi9rNmJNNjJBK2RTUzBjT2RGN2RqYUI2TnUweGZvT0JpQlNYaUlLbHhBWW9kTDZpb09lak1sUEhlR01sKzNuemFqd1hrcGorelZLaDdNWGJLTEFGSElKRS91WnlRd2VCOGoyWGNueXkyeFNiYUY4dTdqZSszOGNCdm1SRmxjb2RVZ0IwSFRCaVY3OGxVTGR3ODVxV2o5TW8xQUhBTkVkMDF5dHg1UlZ4cnNmQUhCWTZ5cSsrN3YvYmlJaFZmQTRMYTlZdDRUdTZQaU1Hek5mdk9vZ2w2WDdyMHVudkdHcERpMHNIL1A1NDlzdDRwdkJSRGhOYW94RUhTUjQ5VFNydWlXNm5GRjFoZHowbjlGQVpkM0F0aklZR2tUc05UTjRkbWhiZS9RcWtZNERtSmdUejdUMFQvaWZuUGhGSHFzdFJqQ3JiUHF5QWYrWVNYZGxndFE1TmdaenpPaHRiZXBkQUdMak9RRjFacWJIY3BIdjJhRXdneUMvZHlaR0xPeEUvWVJOMFFGLzAzclF3Z2FKbGhOWFBaeEduS25TQVBIQ3c4QlFJSTF5WGlrWW9jcGtFOHBWclhMUEpVc2Jtd2xta2lJeDZCU0FHd1JrcEhRdENkZ2JpRFczdzQyMmJidGRncSswS1ZEQ0QrbUhYdFBmNjdXWktBU3c5Vlgwd2k3ekxlVG9GbENxd21YR0t2VHNHaTkwWnFkb2txR3FHQWNZNVRXVVdTbUs4bFhNTmJMSnNxdzFtaTUyTm9pN0djL2YzQTZ4NS84VEZCRythNGRFRndUYU94S2QwN2dwbnEwcWltNDlSQytxNGhQUlBUNXpRcjNSd3lqQ0RKZEZXeFltTFlOTWhDUitWMU5uT1BVc0Z0YVZWcmY1VUZDTzZ0TFVXejRQTitsd282KzYrRWs4MTJRRW43bm9tTmNSaVhoVEZrRVp1eXhGUEM1UDc4Sm9oWWU2VXNKMXlRUjlWYlZPWVFsbzNrbFIvd0hkM0krYTdVMEYyUjQ0cktJWFZkTFRnVU12WkZ2WUZtalhycVB4ZDhwaDJvM29rbCs3aTg3bEZLMkNsUkpyQyt6Q1g3Nm43T2VvTjVReFJtTHJsZTAyL1l5QXk4TkRFbmkwa0cvSlJRMWhCbWRHUGxJbDZGakxhZTUxVXZSL2kxV2dTSWhKLzFzSG5CVlR1OEVSZTJLc1lld3MrYTZ4Zm5ZYW4vNXBDRGpDU293UU95MGpBb0FxNTVacnROWVV2d3NEUjdiM21uVy9KVmZJM2xoQVNORmxiUTcxRVZEQ0VFVjFXRmtsb2hSZUw2WVpPYWVZY0FReG9wQXkyVENoYkhxYVFRUVlGY1ovTFZFZkp4ckNjOFY2Z3krcXJkb3hQZk9RajRWaHZuUHhyb3V2NUdSNlRqWUJ1L1BXYVI5MFlIdkxsL1pWdlJmK1ltWUM3eEVvZXJVa0Q5RkQ4UDF0OXRMbTcvWitpMFcyZTA3bFUrVitVM0tPcFVJNEtMeDJWN3ZsQk9OUm1rWmU4eENpY2tZbUZ5dzNpa0RCeDNuelVJaEJrTlZqTW1SbDhrQ0hOZ1NEdEN5Nkd5QzlWTlNidkVEbDhJS1ZPVjVoQWhEK3pQUlp5bEpEYzNIYXRVTGdtUFN0N2JySlZwOThEKzQ4dVJKZkxMVGdsZFAwa2lDNW5yUlIwcHNzbUlnazkvTCtqa0U0WFo4SXpocW45NjlGTTMwL3d5cWEzYWNpRFZBYVBTemU3NVBMdWg3MkVvQXRUQUVZbTJqd3V4Ly9obzBZSERISXZCVVdHVTJ3cnRxRzQ4S25mVXNsUHRlbVNXN1N1ZS9ha3Z0VmVBa1lDK1FBZW1pNGwvdlorYTlyRDg5UlVkSkJHbHZ5SUNJYW9IZVF0bnljTG5DdEdaS0JXT2g4ZmUvcmJkdFc3ams0SkxYc1QxVkl4alQxaURLUE5Wc1I0T3hoQWVwa0lidkxEcEYzVjVPbmJDOTZ0RTc0b1VmZlBWeTd6V0t3QWdpU0haZkFqTGZDL0VxNEZLaWcrektzTlY2MXlLQVg4SXdqc25jVytxYTE3TzBDb1RWQTdqbTN0aHhiOXU3ZFZRN2VLaHlzSUplRVJHZW1oUGd4RkhNQk9OOHA1bHlnTkovLzB5VTJhTldpSkI3dkg1V1duYXZGWTFzNEovRWlRPT0ifQ%3D%3D&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,4 de 5,"Este Meliá es un hotel moderno situado junto al Palacio de Congresos de Valencia, a 5 km de la estación de tren del AVE. La estación de metro de Beniferri se encuentra a solo 400 metros.

Las habitaciones son amplias y presentan un diseño moderno. Ofrecen unas vistas espectaculares y tienen TV de pantalla plana de 49 pulgadas con canales vía satélite. Todas disponen de aire acondicionado, WiFi gratuita y baño moderno.

El hotel cuenta con una zona de juegos infantiles. Hay salas de reuniones disponibles. Algunas zonas del hotel albergan habitaciones The Level y servicios exclusivos, como una zona privada para hacer el registro de entrada y de salida, desayuno buffet exclusivo, aperitivos y bebidas a diario en la zona privada y servicio de conserjería y organización de actividades en el hotel y la ciudad.

El aeropuerto internacional de Manises está a solo 15 minutos en coche del Meliá Valencia.

El hotel alberga el restaurante Socarrat, especializado en paellas valencianas y en cocina mediterránea e internacional. El bar Oval ofrece una pequeña carta de aperitivos y bebidas durante todo el día."
Resa Patacona,"7,5","a 4,5 km del centro",,€ 376,https://www.booking.com/hotel/es/resa-patacona.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AoPG460GwAIB0gIkOTNhMDA4ODYtN2RjOC00NTYyLWE5NTAtZTJlZTU0YTMwNmI42AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-24&checkout=2024-05-28&dest_id=-406131&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=462453a329cc0060&srepoch=1706615638&all_sr_blocks=691670808_285060038_2_1_0&highlighted_blocks=691670808_285060038_2_1_0&matching_block_id=691670808_285060038_2_1_0&sr_pri_blocks=691670808_285060038_2_1_0__37600&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,2 de 5,"Resa Patacona se encuentra en Valencia, a 7 min a pie de Playa de Patacona y a menos de 1 km de Playa de la Malvarrosa, y ofrece salón de uso común. Este hotel de 2 estrellas ofrece centro de fitness y tiene habitaciones con aire acondicionado, wifi gratis y baño privado. Se ofrece parking privado por un suplemento.

En el hotel, cada habitación dispone de escritorio. Algunas habitaciones también disponen de cocina con microondas y fogones. En Resa Patacona, todas las habitaciones tienen ropa de cama y toallas.

El personal habla inglés y español, y estará encantado de dar información sobre la zona en la recepción 24 horas.

Playa de las Arenas está a 1,7 km del alojamiento, y Puerto de Valencia está a 3,6 km. El aeropuerto más cercano (Aeropuerto de Valencia) está a 14 km."
Ilunion Aqua 4,"8,1",a 3 km del centro,,€ 519,https://www.booking.com/hotel/es/confprtel-aqua-4.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AoPG460GwAIB0gIkOTNhMDA4ODYtN2RjOC00NTYyLWE5NTAtZTJlZTU0YTMwNmI42AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-24&checkout=2024-05-28&dest_id=-406131&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=462453a329cc0060&srepoch=1706615638&all_sr_blocks=9277701_385317700_0_2_0&highlighted_blocks=9277701_385317700_0_2_0&matching_block_id=9277701_385317700_0_2_0&sr_pri_blocks=9277701_385317700_0_2_0__51900&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,4 de 5,"Este hotel de diseño está bien ubicado en Valencia, frente al Oceanogràfic y a la impresionante Ciudad de las Artes y las Ciencias. Hay wifi gratuita en todas las zonas.

Las habitaciones del Ilunion Aqua 4 presentan una decoración elegante en estilo moderno con colores cálidos y constan de suelo de madera y aire acondicionado. Incluyen escritorio grande, caja fuerte, minibar y TV de pantalla plana con canales vía satélite. Algunas habitaciones disfrutan de vistas panorámicas a la Ciudad de las Artes y las Ciencias. El baño presenta acabados de mármol y cuenta con secador de pelo y artículos de aseo gratuitos.

Por las mañanas se ofrece un desayuno variado. El establecimiento también sirve menús del día y a la carta para el almuerzo y la cena. Además, cuenta con productos especiales para celíacos y otras intolerancias alimentarias. El servicio de habitaciones está disponible en horario limitado.

Por su parte, el centro comercial Aqua Multiespacio alberga numerosas tiendas, un spa y un centro de fitness.

El Ilunion Aqua 4 está situado a 2 km del centro de Valencia y a 1 km del puerto. A 50 metros hay una parada de autobús que ofrece conexiones con el centro de la ciudad. Asimismo, el hotel se encuentra a pocos minutos en coche de las playas de la Malvarrosa y Las Arenas. El establecimiento también se halla a 20 minutos en coche del aeropuerto de Manises. Los huéspedes disfrutan de descuentos en el aparcamiento del centro comercial Aqua Multiespacio.

Este hotel está adaptado para personas con movilidad reducida y cuenta con la certificación oficial. Las habitaciones accesibles están disponibles bajo petición (también para personas con discapacidad auditiva o visual)."
Rest Valencia,"7,6",a 1 km del centro,,€ 293,https://www.booking.com/hotel/es/rest-valencia.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AoPG460GwAIB0gIkOTNhMDA4ODYtN2RjOC00NTYyLWE5NTAtZTJlZTU0YTMwNmI42AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-24&checkout=2024-05-28&dest_id=-406131&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=462453a329cc0060&srepoch=1706615638&all_sr_blocks=989989903_371674916_2_0_0&highlighted_blocks=989989903_371674916_2_0_0&matching_block_id=989989903_371674916_2_0_0&sr_pri_blocks=989989903_371674916_2_0_0__29300&from=searchresults#hotelTmpl,4 de 5,"Rest Valencia está en Valencia, a menos de 1 km de Church of Saint Nicolás y a 15 min a pie de Basílica de la Virgen de los Desamparados, y ofrece alojamiento con wifi gratis y zona de estar.

También hay una cocina americana equipada con nevera, microondas y fogones en algunas unidades

Cerca del alojamiento hay puntos de interés como Museo Nacional de Cerámica y Artes Santuarias González Martí, Estación de tren del Norte y Jardín Botánico de Valencia. El aeropuerto (Aeropuerto de Valencia) está a 8 km."
North Station Apartments,"8,7","a 1,6 km del centro",,€ 362,https://www.booking.com/hotel/es/north-station-apartments.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AoPG460GwAIB0gIkOTNhMDA4ODYtN2RjOC00NTYyLWE5NTAtZTJlZTU0YTMwNmI42AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-24&checkout=2024-05-28&dest_id=-406131&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=462453a329cc0060&srepoch=1706615638&all_sr_blocks=1038164707_376318470_2_0_0&highlighted_blocks=1038164707_376318470_2_0_0&matching_block_id=1038164707_376318470_2_0_0&sr_pri_blocks=1038164707_376318470_2_0_0__36180&from=searchresults#hotelTmpl,3 de 5,"North Station Apartments se encuentra en el barrio de Jesús, en Valencia, a 18 min a pie de Estación de tren del Norte y a 3,1 km de Church of Saint Nicolás. Hay wifi gratis en todo el alojamiento.

El alojamiento tiene aire acondicionado, zona de cocina totalmente equipada y con zona de comedor, TV de pantalla plana y baño privado con ducha y artículos de aseo gratuitos. También se ofrece nevera, lavavajillas y microondas, además de hervidor.

Jardín del Turia está a 3,7 km del alojamiento, y Museo Nacional de Cerámica y Artes Santuarias González Martí está a 3,8 km. El aeropuerto más cercano (Aeropuerto de Valencia) está a 8 km del alojamiento."
Olympia Consul del Mar,"7,9","a 1,8 km del centro",,€ 338,https://www.booking.com/hotel/es/casual-valencia-de-las-artes.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AoPG460GwAIB0gIkOTNhMDA4ODYtN2RjOC00NTYyLWE5NTAtZTJlZTU0YTMwNmI42AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-24&checkout=2024-05-28&dest_id=-406131&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=462453a329cc0060&srepoch=1706615638&all_sr_blocks=53805601_88501820_0_2_0&highlighted_blocks=53805601_88501820_0_2_0&matching_block_id=53805601_88501820_0_2_0&sr_pri_blocks=53805601_88501820_0_2_0__33801&from=searchresults#hotelTmpl,4 de 5,"El Olympia Consul del Mar se encuentra a 15 minutos a pie de la Ciudad de las Artes y las Ciencias. Ofrece WiFi gratuita.

Las habitaciones son amplias y disponen de aire acondicionado, minibar, caja fuerte y TV de pantalla plana. El baño privado incluye secador de pelo y artículos de aseo gratuitos. Una de las habitaciones está adaptada para personas con movilidad reducida.

Hay numerosos bares, restaurantes y tiendas en los alrededores del Olympia Consul del Mar. El centro histórico de Valencia, situado a 3 km, también alberga muchos sitios para comer y animados locales de ocio nocturno.

La estación de metro Amistat, situada a 10 minutos a pie del hotel, ofrece conexiones con el resto de la ciudad. Se encuentra a 3 km del puerto de Valencia y de la playa. El aeropuerto de Valencia queda a 20 minutos en coche. Se facilita aparcamiento privado por un suplemento."
Eurostars Rey Don Jaime,"7,9","a 1,8 km del centro",,€ 520,https://www.booking.com/hotel/es/eurostars-rey-don-jaime.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AoPG460GwAIB0gIkOTNhMDA4ODYtN2RjOC00NTYyLWE5NTAtZTJlZTU0YTMwNmI42AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-24&checkout=2024-05-28&dest_id=-406131&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=462453a329cc0060&srepoch=1706615638&all_sr_blocks=9152023_0_2_0_0&highlighted_blocks=9152023_0_2_0_0&matching_block_id=9152023_0_2_0_0&sr_pri_blocks=9152023_0_2_0_0__52021&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,4 de 5,"El Eurostars Rey Don Jaime se encuentra frente al Jardín del Turia y el Palau de la Música de Valencia. El establecimiento dispone de terraza en la azotea con piscina. Además, hay WiFi gratuita en todas las instalaciones.

El Rey Don Jaime alberga una torre impresionante de 14 plantas y ofrece habitaciones con aire acondicionado, calefacción y TV vía satélite (por un suplemento). También incluyen armario grande.

El hotel está situado a unos 15 minutos a pie de la Ciudad de las Artes y las Ciencias. Asimismo, el establecimiento se halla a 3,6 km del paseo marítimo de Valencia y de la playa más cercana. En la esquina del Eurostars Rey Don Jaime hay una parada de autobús local (línea 19) que proporciona conexiones con la playa y con el centro de la ciudad."
Silken Puerta Valencia,"8,2","a 1,8 km del centro",,€ 505,https://www.booking.com/hotel/es/puertavalencia.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AoPG460GwAIB0gIkOTNhMDA4ODYtN2RjOC00NTYyLWE5NTAtZTJlZTU0YTMwNmI42AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-24&checkout=2024-05-28&dest_id=-406131&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=462453a329cc0060&srepoch=1706615638&all_sr_blocks=9118202_338926416_0_34_0&highlighted_blocks=9118202_338926416_0_34_0&matching_block_id=9118202_338926416_0_34_0&sr_pri_blocks=9118202_338926416_0_34_0__50500&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,4 de 5,"El Silken Puerta Valencia se encuentra a 5 minutos a pie del estadio de Mestalla y a 15 minutos a pie de la Ciudad de las Artes y las Ciencias. Cuenta con conexión Wi-Fi gratuita y alberga un restaurante a la carta.

El Puerta Valencia, diseñado por Javier Mariscal, presenta un estilo elegante y contemporáneo. Las habitaciones son amplias y tienen aire acondicionado, suelo de parqué, TV vía satélite y escritorio.

El restaurante Puerta Valencia sirve una amplia variedad de platos mediterráneos y está especializado en arroces. También hay un bar que sirve tapas y cócteles por la noche.

El hotel cuenta con un aparcamiento amplio, disponible por un suplemento. La estación de metro más cercana es Aragón, situada a unos 400 metros. Desde allí podrá llegar en solo 10 minutos al casco antiguo y la catedral de la ciudad. La playa está a poco más de 2 km del Silken."
Loft Urbano,"9,0","a 1,5 km del centro",,€ 216,https://www.booking.com/hotel/es/loft-urbano.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AoPG460GwAIB0gIkOTNhMDA4ODYtN2RjOC00NTYyLWE5NTAtZTJlZTU0YTMwNmI42AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-24&checkout=2024-05-28&dest_id=-406131&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=462453a329cc0060&srepoch=1706615638&all_sr_blocks=1144166401_387264048_2_0_0&highlighted_blocks=1144166401_387264048_2_0_0&matching_block_id=1144166401_387264048_2_0_0&sr_pri_blocks=1144166401_387264048_2_0_0__21600&from=searchresults#hotelTmpl,4 de 5,"Loft Urbano se encuentra en el barrio de Quatre Carreres, en Valencia, cerca de Estación de tren del Norte. Dispone de wifi gratis y lavadora. Este apartamento está a 2,9 km de Jardines de Monforte y a 3 km de Basílica de la Virgen de los Desamparados.

Este apartamento tiene aire acondicionado y cuenta con 1 dormitorio, TV de pantalla plana y cocina con microondas y fogones. Hay toallas y ropa de cama en el apartamento.

Cerca del alojamiento hay puntos de interés como Jardín del Turia, Museo Nacional de Cerámica y Artes Santuarias González Martí y Oceanográfico. El aeropuerto más cercano (Aeropuerto de Valencia) está a 10 km del alojamiento."
