Hotels,Distance,District,Price,Rating,Stars,Comments,Link,Descriptions
Room Mate Gerard,"a 0,7 km del centro","Eixample, Barcelona",€ 855,"8,8",4 de 5,2.785 comentarios,https://www.booking.com/hotel/es/room-mate-gerard.es.html?aid=304142&label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4AuXX-a0GwAIB0gIkMTA2ZmMyNmQtYTBhNS00NTBlLWJhOWYtMzI3MDM0OTFhMDFj2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-02-19&checkout=2024-02-24&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=164a74fba357012f&srepoch=1706978299&all_sr_blocks=224211801_98757563_0_2_0&highlighted_blocks=224211801_98757563_0_2_0&matching_block_id=224211801_98757563_0_2_0&sr_pri_blocks=224211801_98757563_0_2_0__85456&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"El Room Mate Gerard en Barcelona ofrece alojamiento con piscina exterior de temporada y centro de fitness.

Cuenta con terraza. Su ubicación, en el distrito del Eixample, hace que esté cerca de atracciones como el Teatro Tívoli y a 700 metros de la calle Portal de l'Angel.

Todas las habitaciones del hotel ofrecen una decoración sencilla pero elegante. Están equipadas con armario, TV de pantalla plana y aire acondicionado. Algunas habitaciones incluyen balcón. Todos los alojamientos tienen baño privado con ducha y artículos de aseo gratuitos.

Se sirve un desayuno buffet a diario.

El personal de la recepción 24 horas habla inglés y español y puede ofrecer información durante la estancia. Otras instalaciones incluyen WiFi portátil.

La Plaza de Cataluña está a 9 minutos a pie del alojamiento. A 13 km se halla el aeropuerto de Barcelona-El Prat."
Sonder Casa Luz,a 450 m del centro,"Eixample, Barcelona",€ 937,"8,4",4 de 5,2.669 comentarios,https://www.booking.com/hotel/es/casa-luz-barcelona.es.html?aid=304142&label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4AuXX-a0GwAIB0gIkMTA2ZmMyNmQtYTBhNS00NTBlLWJhOWYtMzI3MDM0OTFhMDFj2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-02-19&checkout=2024-02-24&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=164a74fba357012f&srepoch=1706978299&all_sr_blocks=596194813_328913233_2_2_0&highlighted_blocks=596194813_328913233_2_2_0&matching_block_id=596194813_328913233_2_2_0&sr_pri_blocks=596194813_328913233_2_2_0__93695&nad_id=c3c8db7e-3ea7-4bf2-99d9-cb5218d7bc22_1&nad_cpc=0.72&nad_track=eyJyYW5rIjoxLCJrb2RkaVRyYWNraW5nSW5mbyI6InVWalJGcGNkb2hXWHFLWlNVekJCSVhoWTl3ajEvWExnaU9PS3Zhb2VYNHQzQjYzd1pKL0ZkQjA3QnM4VHllMmFjUWcyaVJDTmZpbGRxYjF4eThpZmo2NjV2S1JLekJnL3VsOGsxeFRJaGdZODgyYm5kdGpoNHREZmlRNytNK0pHaG5LMkNiLzhhaEJsYjlDMHlpZkxUZm15ZUVFNmdYUlZiRjFpM2lFZ0tvUFBZL3hUSXcreC8rZjhlWTh5NEIxMUNiQ0RYKzZZZkIxWDl2QVE1T2lRZWhYbjdvU1JHUnBjT2g2cXIvYUZSWStSMzZVaUsyTkdwaDR3bVJwNCtIVUJwdkNUYTBkdUpYbU9TOWp4KzRReXNXTyt0Z1BwbCtpcmtrTzQ0VFBCV2FZM2JpUmFNSHVybk5UdEN3MnNpS2lDSnZnWkRsa2RkYStqMTArS3FoaWdFN1NiY1FXTTlGd2ZyUHU5T3VkbWZUT3dscDNLU1p5MmZoK2h5Ry9jbkVwTDJja2FyaXEwWm54aWxWVGF6KytiTm9RT3NBWkRhYkJsQWEwS05SVS9SOWxUZDhZKzByU1VSN2IwQ2ZMWmxFTC9aRWhvZVcxUFo5cU1DTXlQSnpVS1lUdHp1UnhPRGdVV2JiN3dKNkY3WmRLcExBVDdKeHYzVE9iOTV5VVhNK05qZXUwcmFhV3pMeWQ3WFZkaGoxcmhPR0NUVjVrRDJleTBPckI0c3RER09lczJiL1k2TlBQOFBUcGJjVTFlNGFodjIzVDlGSUc1UFhkU3BpYjNFTlRSWENCRkkwaW94bm5CaE4ySXYzQk5wM0ZDSzZhdHd6VktXb09OR2MzMnZ5bEF1UzJ6ZW44NE1vcXZ1bzN6OVpFWGF1dW5JNXA0UTI3SWtmZ1k5cmx6YTA4THFSTGdVREpQUE9kM2FiUU9qTHJ4RmgvZTBYdHVqY01xM1ZrdDJXa09abEN4RmdoVDJQcktuTUR2T2pHRXQxLzVBSDNkWGkvcHFFQkFtUHQ5Nnc0UFRwUE4zaUsyTVJqWGFPTURWM0EyTHVIek1Cc1dYMHk3UmZ1c0Y3MVE0a1FQYkRyQmJtMWtiQVFjTWNsamRrTVBib0pndy9naHROeDNPbDhaUlUydDVPOHJYQnZvdDBFdWhtQnl0WlBiT1lBeTBKNG5nNjlqOGRNZVR4dWRkYk9DVEJLc0ZuMmY1aFFnMjk5cVBKaE9LN3hnNEhJUHQrcVN1MDlUaU1GU0h5eWxLbEp3Z3R0OFp5TmNtTmhUOWVZNnJvYmVpTFVxbUpBU3l0Yk9mS2lhQXNqZHVYSlJiOGZrVXV3VHNqWFhhSHJLUlBwSDFiR21HMVZnT1ZHcitZTWoralhscXJNRUxKaElXWjBVODF1QytYMGloRlNtQ2ZhblJLRFQzbUoxaHNsQWRFTEpFcE9Ra2ZxbVpORUdFWEhQZ2ZJc1JiT1lVMWE3MjV5VmxqWjVtbUR5RWdIYmk3QVROKzhhQmpXLzB3SE1FQ3d2emc1R1F4KzZlbTBNMUNxY3pRdEJlNkx3WDBNMzFrYWNZUTRFM2dadFZWVkR0N3VKaVJlR1NtQWtCZmZaRHVQYTM4RmVHSXlpOWhadmMwZUR5SGFWOS9hTzJMZE84QkpnNm0vSHAreGlySHFucFV0eEJ5L0M5aHM4enhEcmQrV3FxTU9jdWpid0FCUktRL3ExZThiQzY4WXYxSlZOaTU5NmVlNVgxZ3Fob3Yya0ZyQmhjL2MveVl6Tis5TFFDcnlQZm9nTHJEaC9CSW1MSkNwNzNJclhBM0hobmo5MnR3U3lweEp4NENOZ01HbCswQUM4OGtIU0pzZXhLbVFWaHRadTJaZzRMTGpZS0VZUHBGaHBvdG1mdDUzUXU3dkNSNjQ5Y2VtSGdDYlNtVXVlMnl6c1crSzY4NlMzaTg3Y2tna0NVQWVucGMrbHJZbFBSTDIxUGV6Wnk4dStKcmcwOTF2Q2duT3V2eU5aWnFrVXRaT2FSR1lqQy8vS09YQWZaalhTdEQ1REpyd2Z1QisxSW1xdG1kMVFlVHNmYkI0aG9rdFFpcEkxdlVQM3pYT0w2TEkyaVNDanhRMGdkdFZQWGM3dmdyZ0RBVXlhUDQrZFowU3o4V0UxTmJ1dC9IdUlYMHlxUWdJdS9zR1c2OEM2N2FWWFEyMGdpVVJ1eEdqeVVvRFhrS3pwMlFzbjQza2NJbWlvbFMyVEFTY3ZrOTBIU3FzV291TjJ3Z2ZIQUJXczgreVh5NUk3L3kzT3M4d28vNUpLUFVDcmpYUlNwSEZRUHM5QkpxL0FMSGlzbTRCR2hMSzdBS2o3S3Q5MDZrY3NSSmZhTEU2cllQOUJxVmFXK2lWRzVLZ2lSNHdMMWNsVHFjdUtoaG9hT0tXY2lGOVlqVWhIRmxNYit3NmlMZ0NmTjhiUWZyM1M0VjAzZ3FvVzNHc1dQMEQxeEtTOW5uTWsxMU9lWVA5d3pyZzhvM201U2ZjanhjdnA0NXkvUjA0TjFFWWpYNWthWHQ2Z0g0QjFzb2ZzTlN0UmZIYjZML0E4K1VVMUtuc2NsZ1RjS0s0cGlsem80TWFXbzJ4UXFXNjNKTjR5UVkzRXFBdENTbU85dUczdmh6QWV3bDh2UlFKZmpWZTVHajZMWnQ5SUpmcmMvNWg1UjcxTFUyVnk0N0E3a292OFh4blFmYVBrZ0I2M212UzJrK2huUFZaUGIzdHNrT25QT1daTEVTNXNIb245aFRXQkorMWFrTWpmY1Rwc2E4S0pRNC9CU3pEeEEydVpXY3czUHpHb282UG9veHpvNzE3VHJLdWZkU1dCcUlZS250N293d1o4RlIzRUs5U0R6Qjl1cVVhblN4dWJmendmcmxTdjlyUUpnSUxwYVJxSkxRNXI0SjdhTlliQ3FPQ0kwd1JDK2dldCtNRFVOVTRMUFJ6NDVTcS9NV2xCRTM5ZnVaV3RzajQ3TjYrbzRxVDdZSHpET0hLNGMwaGtucWljbGN2dHpxMy9HaWlMajVWV3VldGR6elBzWWk4V0Y1TFRsUksyUkJwMTFoSytib2lLZ3NCU0cwMHNrcmRLd3lST2xjYm5rdm9NY29ndlljaDBNMUxTd01WMG9uZ2o2VFhWNmhGc2QrelBqaGRmVnNuMDlRc3laTzNFeU9YOVRNKy8wTnFqSGRiYWNyS0xPZ09LY1oya3BjUGVqelJBTXdiRlBxdTFKbWlIb05RdUVqNmVQVWFnVEt3Y1B5a2ZmYUkxQ25ESlJnQndxTTRUbkpHNSJ9&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"El Sonder Casa Luz se encuentra en Barcelona y ofrece terraza, desayuno y servicio de limpieza gratuito. Los huéspedes podrán visitar el cercano museo de arte contemporáneo MACBA, el mercado de La Boquería y la Rambla del Raval.

El establecimiento alberga un restaurante.

Entre los sitios de interés cercanos al hotel están el paseo de Gracia, la Casa Batlló y la plaza de Cataluña. El aeropuerto de El Prat, situado a 14 km del Sonder l Casa Luz, es el más cercano."
Hostal Orleans,"a 1,2 km del centro","Ciutat Vella, Barcelona",€ 469,"8,6",2 de 5,3.379 comentarios,https://www.booking.com/hotel/es/hostal-orleans.es.html?aid=304142&label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4AuXX-a0GwAIB0gIkMTA2ZmMyNmQtYTBhNS00NTBlLWJhOWYtMzI3MDM0OTFhMDFj2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-02-19&checkout=2024-02-24&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=164a74fba357012f&srepoch=1706978299&all_sr_blocks=38790504_298815720_0_0_0&highlighted_blocks=38790504_298815720_0_0_0&matching_block_id=38790504_298815720_0_0_0&sr_pri_blocks=38790504_298815720_0_0_0__46861&from=searchresults#hotelTmpl,"Este establecimiento es acogedor y está situado frente a la estación de tren Estació de França, a 50 metros del parque de la Ciutadella. Ofrece habitaciones con aire acondicionado, balcón y conexión Wi-Fi gratuita.

Las habitaciones del Hostal Orleans están decoradas en colores vivos y cuentan con TV de plasma, caja fuerte y baño privado con secador de pelo. También incluyen ropa de cama y toallas.

El establecimiento cuenta con salón compartido, que incluye sofás, ordenadores con conexión a internet gratuita, máquinas expendedoras de bebidas y microondas. La recepción abre 24 horas y se ofrece consigna de equipaje gratuita.

El Orleans está a 2 minutos a pie de la iglesia de Santa Maria del Mar y a 900 metros de la playa de la Barceloneta. El centro comercial Maremagnum está a 5 minutos a pie.

La estación de metro Barceloneta se encuentra a 400 metros y La Rambla y la catedral de la ciudad están a 10 minutos a pie."
Casa Elliot by Bondia Hotel Group,"a 0,7 km del centro","Eixample, Barcelona",€ 819,"8,8",4 de 5,2.165 comentarios,https://www.booking.com/hotel/es/hoteladvancebarcelona.es.html?aid=304142&label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4AuXX-a0GwAIB0gIkMTA2ZmMyNmQtYTBhNS00NTBlLWJhOWYtMzI3MDM0OTFhMDFj2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-02-19&checkout=2024-02-24&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=164a74fba357012f&srepoch=1706978299&all_sr_blocks=9133609_359192622_2_2_0&highlighted_blocks=9133609_359192622_2_2_0&matching_block_id=9133609_359192622_2_2_0&sr_pri_blocks=9133609_359192622_2_2_0__81850&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"El Casa Elliot by Bondia Hotel Group está situado en el centro de Barcelona, a menos de 10 minutos a pie de la plaza de Cataluña y Las Ramblas. Este elegante hotel ofrece wifi gratuita.

Las habitaciones del Casa Elliot by Bondia Hotel Group presentan una decoración contemporánea y disponen de balcón o ventanas. Algunas también cuentan con terraza privada grande. Todas incluyen TV de pantalla plana y aire acondicionado.

El desayuno se sirve en el restaurante de estilo buffet del hotel. Los huéspedes pueden utilizar la biblioteca, el salón y el mostrador de información turística del Casa Elliot by Bondia Hotel Group.

El Casa Elliot by Bondia Hotel Group se encuentra a menos de 200 metros de la estación de metro Universitat y a 10 minutos a pie del Passeig de Gràcia. El aeropuerto de Barcelona-El Prat se halla a 30 minutos en autobús."
Ofelias Hotel 4Sup by Bondia Hotel Group,a 2 km del centro,"Eixample, Barcelona",€ 815,"8,6",4 de 5,1.849 comentarios,https://www.booking.com/hotel/es/ofelias-4-superior.es.html?aid=304142&label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4AuXX-a0GwAIB0gIkMTA2ZmMyNmQtYTBhNS00NTBlLWJhOWYtMzI3MDM0OTFhMDFj2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-02-19&checkout=2024-02-24&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=164a74fba357012f&srepoch=1706978299&all_sr_blocks=35087501_359192576_2_2_0&highlighted_blocks=35087501_359192576_2_2_0&matching_block_id=35087501_359192576_2_2_0&sr_pri_blocks=35087501_359192576_2_2_0__81490&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"El Ofelias Hotel se encuentra junto a la Gran Vía y a 2 minutos a pie de la estación de metro Plaza Espanya y del centro de exposiciones Fira y ofrece habitaciones elegantes con conexión WiFi gratuita. Además, alberga una terraza en la azotea con piscina de temporada al aire libre.

Todas las habitaciones del Ofelias Hotel son luminosas y disponen de aire acondicionado, TV de pantalla plana y baño privado. A la llegada, se ofrece 1 botella de agua gratuita.

El hotel cuenta con bar donde se sirven bebidas. Además, en los alrededores de la plaza de España hay numerosos bares y cafeterías. También encontrará diversos restaurantes en la zona de Las Ramblas y en el Barrio Gótico, situados a solo 4 paradas de metro del alojamiento.

El personal de la recepción proporciona información sobre diversas actividades de Slow Travely ofrece servicio de alquiler gratuito de bicicletas, disponible bajo petición.

El Ofelias está situado justo enfrente del centro comercial Las Arenas, a menos de 1 km de la Fuente Mágica y del parque de Montjuïc. Asimismo, el establecimiento se halla a solo 200 metros de la parada del autobús del aeropuerto. El personal de la recepción ofrece servicio de alquiler de bicicletas."
Hotel Ronda Lesseps,a 3 km del centro,"Gracia, Barcelona",€ 472,"8,3",4 de 5,2.115 comentarios,https://www.booking.com/hotel/es/rondalessepsbarcelona.es.html?aid=304142&label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4AuXX-a0GwAIB0gIkMTA2ZmMyNmQtYTBhNS00NTBlLWJhOWYtMzI3MDM0OTFhMDFj2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-02-19&checkout=2024-02-24&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=164a74fba357012f&srepoch=1706978299&all_sr_blocks=9156625_88492939_0_2_0&highlighted_blocks=9156625_88492939_0_2_0&matching_block_id=9156625_88492939_0_2_0&sr_pri_blocks=9156625_88492939_0_2_0__47215&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"El Hotel Ronda Lesseps es un establecimiento tranquilo y familiar con 2 hermosas terrazas interiores llenas de plantas que permiten a los huéspedes relajarse durante su estancia en la ciudad.

El hotel está situado en el corazón metropolitano de Barcelona, muy bien comunicado en transporte público, muy cerca del histórico barrio de Gràcia y a solo 10 minutos a pie del parque Güell de Antoni Gaudí.

Número de licencia: HB-004338"
TWO Hotel Barcelona by Axel 4* Sup- Adults Only,"a 1,5 km del centro","Eixample, Barcelona",€ 581,"8,4",4 de 5,2.539 comentarios,https://www.booking.com/hotel/es/two-barcelona-by-axel.es.html?aid=304142&label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4AuXX-a0GwAIB0gIkMTA2ZmMyNmQtYTBhNS00NTBlLWJhOWYtMzI3MDM0OTFhMDFj2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-02-19&checkout=2024-02-24&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=164a74fba357012f&srepoch=1706978299&all_sr_blocks=131688502_0_2_0_0&highlighted_blocks=131688502_0_2_0_0&matching_block_id=131688502_0_2_0_0&sr_pri_blocks=131688502_0_2_0_0__58100&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"El TWO Hotel Barcelona by Axel está situado en pleno barrio gay de Barcelona, a 2 km de la playa de la Barceloneta, y alberga una piscina en la azotea con solárium amplio.

Este hotel hetero friendly proporciona aparcamiento privado. También incluye recepción 24 horas y mostrador de información turística, donde se ofrece información sobre la ciudad y la zona gay. Además, la azotea alberga el bar Sky, un gimnasio, un baño de vapor y una sala de masajes.

Las habitaciones están equipadas con aire acondicionado y minibar. El baño es privado y consta de ducha y secador de pelo. Además, las habitaciones incluyen caja fuerte y cargador universal para teléfonos móviles.

El alojamiento alberga un bar en la azotea con vistas impresionantes a la ciudad, así como un bar salón donde se preparan cócteles fabulosos. El alojamiento sirve un desayuno buffet todas las mañanas y ofrece WiFi gratuita de alta velocidad en todas las instalaciones.

El personal puede facilitar información sobre la zona de los alrededores, conocida como “Gayxample” debido a su animado ocio nocturno gay.

El hotel se encuentra a 2 minutos a pie de la estación de metro de Rocafort y a 10 minutos a pie de la plaza España, que ofrece enlace directo en autobús con el aeropuerto de Barcelona. El TWO Hotel Barcelona by Axel se encuentra a 1,3 km de la avenida del Paralelo, repleta de bares, restaurantes, discotecas y teatros."
The Streets Apartments Rambla,a 1 km del centro,"Ciutat Vella, Barcelona",€ 944,"9,2",4 de 5,194 comentarios,https://www.booking.com/hotel/es/the-streets-apartments-rambla-barcelona.es.html?aid=304142&label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4AuXX-a0GwAIB0gIkMTA2ZmMyNmQtYTBhNS00NTBlLWJhOWYtMzI3MDM0OTFhMDFj2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-02-19&checkout=2024-02-24&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=164a74fba357012f&srepoch=1706978299&all_sr_blocks=997178904_372582803_2_0_0&highlighted_blocks=997178904_372582803_2_0_0&matching_block_id=997178904_372582803_2_0_0&sr_pri_blocks=997178904_372582803_2_0_0__94408&from=searchresults#hotelTmpl,"The Streets Apartments Rambla, que cuenta con terraza y wifi gratis, se encuentra en el centro de Barcelona, cerca de Platja de Sant Sebastià, Platja de Sant Miquel y Plaza Cataluña.

El alojamiento tiene aire acondicionado, cocina totalmente equipada y con zona de comedor, TV de pantalla plana y baño privado con ducha, artículos de aseo gratuitos y secador de pelo.

Cerca del alojamiento hay puntos de interés como Teatro Tívoli, Paseo de Gracia y Palacio de la Música Catalana. El aeropuerto más cercano (Aeropuerto de Barcelona - El Prat) está a 14 km del alojamiento."
Barcelonaforrent The Central Place,"a 0,6 km del centro","Eixample, Barcelona",€ 1.580,"8,5",4 de 5,124 comentarios,https://www.booking.com/hotel/es/barcelonaforrent-the-central-suites.es.html?aid=304142&label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4AuXX-a0GwAIB0gIkMTA2ZmMyNmQtYTBhNS00NTBlLWJhOWYtMzI3MDM0OTFhMDFj2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-02-19&checkout=2024-02-24&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=164a74fba357012f&srepoch=1706978299&all_sr_blocks=125092302_350330828_0_0_0&highlighted_blocks=125092302_350330828_0_0_0&matching_block_id=125092302_350330828_0_0_0&sr_pri_blocks=125092302_350330828_0_0_0__158000&from=searchresults#hotelTmpl,"El Barcelonaforrent The Central Places ofrece vistas a la Casa Batlló y está en una zona céntrica, entre el Paseo de Gracia y La Rambla. Los apartamentos cuentan con balcón, aire acondicionado y WiFi gratuita.

La zona de estar, que presenta una decoración sencilla y un interior luminoso, dispone de TV de pantalla plana con Netflix, sofá cama y soporte para iPod. La cocina está equipada con horno, lavavajillas y cafetera.

Los dormitorios del Barcelonaforrent The Central Places son modernos y tienen suelo de parquet y camas individuales. También disponen de baño privado con ducha y toallas. Se proporciona ropa de cama.

En los alrededores de los apartamentos hay tiendas y restaurantes. La estación de metro Passeig de Gràcia está a 250 metros y ofrece conexiones con la Sagrada Familia y la playa de La Barceloneta en menos de 20 minutos. El aeropuerto de Barcelona-El Prat queda a 15 minutos en coche."
Hostal Boqueria,"a 0,6 km del centro","Ciutat Vella, Barcelona",€ 738,"8,4",2 de 5,731 comentarios,https://www.booking.com/hotel/es/hostal-boqueria.es.html?aid=304142&label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4AQfIAQ_YAQHoAQH4AQKIAgGoAgO4AuXX-a0GwAIB0gIkMTA2ZmMyNmQtYTBhNS00NTBlLWJhOWYtMzI3MDM0OTFhMDFj2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-02-19&checkout=2024-02-24&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=164a74fba357012f&srepoch=1706978299&all_sr_blocks=1487401_95139617_0_0_0&highlighted_blocks=1487401_95139617_0_0_0&matching_block_id=1487401_95139617_0_0_0&sr_pri_blocks=1487401_95139617_0_0_0__73790&from=searchresults#hotelTmpl,"Este establecimiento se encuentra en las Ramblas de Barcelona, a menos de 200 metros de la estación de metro Liceu. Ofrece habitaciones sencillas y cómodas, así como WiFi gratuita en todas las instalaciones.

Las habitaciones del Hostal Boqueria son funcionales y cuentan con aire acondicionado, calefacción, TV por cable y caja fuerte. Incluyen baño privado cuenta con secador de pelo. Las habitaciones con vistas a las Ramblas están sujetas a disponibilidad.

El Boqueria dispone de recepción 24 horas. Hay consigna de equipaje.

El establecimiento está situado en una zona céntrica, por lo que es ideal para visitar Barcelona. El mercado de la Boquería se encuentra al otro lado de las Ramblas. La catedral de Barcelona y el barrio gótico están a 5 minutos a pie del Hostal Boqueria."
